Component,Explained Var,Cumulative
0,0.7667649996188729,0.7667649996188729
1,0.09874382922238424,0.8655088288412571
2,0.04507308074270623,0.9105819095839633
3,0.01885197414872626,0.9294338837326896
4,0.01059797257230407,0.9400318563049938
5,0.008380761019466545,0.9484126173244602
6,0.007634004887878561,0.9560466222123388
7,0.006364538499173855,0.9624111607115127
8,0.00448001449635574,0.9668911752078684
9,0.0036318710550822214,0.9705230462629506
10,0.003345639398283323,0.973868685661234
11,0.002747858327064496,0.9766165439882984
12,0.002194920645943159,0.9788114646342416
13,0.0020519677386147033,0.9808634323728563
14,0.001894595512748035,0.9827580278856044
15,0.0012947329279480268,0.9840527608135524
16,0.001127543744791503,0.9851803045583439
17,0.0010662116534168049,0.9862465162117607
18,0.0009639845744665718,0.9872105007862273
19,0.0008565882382956507,0.9880670890245229
20,0.0006697533917101545,0.988736842416233
21,0.0006264475949902024,0.9893632900112233
22,0.0005839021314952236,0.9899471921427184
23,0.0005329130666042085,0.9904801052093226
24,0.0004948025201073111,0.99097490772943
25,0.00044029854661253344,0.9914152062760425
26,0.000429562459420827,0.9918447687354633
27,0.0003946720752296379,0.9922394408106929
28,0.0003904126347979359,0.9926298534454908
29,0.0003664430248895625,0.9929962964703803
30,0.0003215124140286449,0.993317808884409
31,0.0003149827044950417,0.993632791588904
32,0.0002870946537168761,0.993919886242621
33,0.00026487151604148436,0.9941847577586624
34,0.0002479914161701771,0.9944327491748326
35,0.00022617563902423629,0.9946589248138569
36,0.00021442608883978623,0.9948733509026967
37,0.00020607163289706036,0.9950794225355938
38,0.0001946150862839916,0.9952740376218778
39,0.00019281479556095934,0.9954668524174388
40,0.00017940112320205393,0.9956462535406408
41,0.00017177037649044797,0.9958180239171313
42,0.00016238681481235503,0.9959804107319437
43,0.00015219373108665482,0.9961326044630303
44,0.00014186147161448462,0.9962744659346447
45,0.0001354372606104039,0.9964099031952551
46,0.00012611623612760226,0.9965360194313827
47,0.00011927350962365151,0.9966552929410063
48,0.00011865913639023209,0.9967739520773965
49,0.00011389973179225256,0.9968878518091887
50,0.00010923520685875614,0.9969970870160475
51,0.00010526748498280837,0.9971023545010304
52,9.721403868879065e-05,0.9971995685397191
53,9.458793588496761e-05,0.9972941564756042
54,9.305195028595794e-05,0.9973872084258901
55,8.674718083275449e-05,0.9974739556067229
56,8.406160211858221e-05,0.9975580172088415
57,7.814802175888797e-05,0.9976361652306004
58,7.538892768379175e-05,0.9977115541582842
59,7.420346699926286e-05,0.9977857576252834
60,7.253487152908976e-05,0.9978582924968126
61,6.803142257632074e-05,0.9979263239193888
62,6.678895770044751e-05,0.9979931128770893
63,6.461555861701192e-05,0.9980577284357063
64,6.265859656463792e-05,0.9981203870322709
65,5.894568637268877e-05,0.9981793327186436
66,5.746805841864468e-05,0.9982368007770622
67,5.6205831477775684e-05,0.99829300660854
68,5.4195155532091335e-05,0.9983472017640721
69,5.2586892057897685e-05,0.99839978865613
70,5.1214819208624345e-05,0.9984510034753387
71,5.108673378600583e-05,0.9985020902091246
72,4.868500964993523e-05,0.9985507752187746
73,4.7442687434464906e-05,0.9985982179062091
74,4.7023483283655906e-05,0.9986452413894927
75,4.432526190987988e-05,0.9986895666514026
76,4.271050278828663e-05,0.9987322771541909
77,4.1790113141716913e-05,0.9987740672673326
78,3.975688490494813e-05,0.9988138241522376
79,3.745180390932118e-05,0.998851275956147
80,3.6902795295516976e-05,0.9988881787514425
81,3.621197761993636e-05,0.9989243907290625
82,3.35625006612337e-05,0.9989579532297237
83,3.289484920466433e-05,0.9989908480789284
