Minimum,Maximum
-0.14694277898944225,0.9768359247234333
-0.007701166444599828,0.20907293910883185
-0.0028803211664281715,0.006300116239330731
-0.0005780579696187801,0.007559144852803431
-0.0001243293605461296,0.0009105128267813373
-0.0003257935089148364,0.002413084958293657
-0.0001409553590796786,0.0001650485135502231
-2.540940919681551e-05,0.00019592005177471628
-5.6625183691272616e-05,0.00017434789019888964
-8.74209420245711e-05,0.0002090711966026662
-3.636117183748977e-05,7.027275240753547e-05
-2.1085614192083452e-05,8.729983674752407e-05
-2.307799294348547e-05,2.5712874232205637e-05
-4.416228828638364e-05,4.649931636706887e-05
-6.052754210594971e-06,0.00011798533984426651
