,av,Density,gasTemp,dustTemp,Ly-alpha,C+ ,O ,C ,CO ,p-H2,o-H2,Photoelectric,H2Formation,FUVPumping,Photodissociation,Cionization,CRheating,turbHeating,Chemheating,gasGrainColls,H,H2,H+,C+,C,E-
0,0.0,1000.0,633.38,132.82,1e-50,1.0023094254494323e-21,4.074645149869667e-21,1.3839283251087584e-30,1.6697704812730757e-44,1.5645033230556266e-29,4.7422160360034326e-29,5.076422828178888e-21,1.9458399686619962e-23,2.3254361366073346e-23,5.1889289364990875e-24,8.886456983535043e-26,2.495667586362394e-33,7.000000000000001e-26,2.6592183704239317e-30,-4.8049762542844784e-23,0.9999250000000001,1.5600199000000001e-09,7.497315499999999e-05,0.0001,1.8487417000000002e-12,0.00018042082999999997
1,3.899179987120128e-07,1000.0,633.32,132.82,1e-50,1.0022960845488814e-21,4.074805291868168e-21,1.383967029472021e-30,1.6698123242775892e-44,1.56415849947792e-29,4.7413040731171346e-29,5.0765662622635514e-21,1.945967568353359e-23,2.3254904736905655e-23,5.1892691564449256e-24,8.886746701269185e-26,2.495834361534171e-33,7.000000000000001e-26,2.6586612396709483e-30,-4.804348389169345e-23,0.9999250000000001,1.5601241999999997e-09,7.496962300000001e-05,0.0001,1.8488057e-12,0.00018041731000000005
2,6.917899987120128e-07,1000.0,633.28,132.82,1e-50,1.0022857613467255e-21,4.07492880884763e-21,1.3839965092023086e-30,1.6698446351916125e-44,1.5638916027388704e-29,4.740598240925503e-29,5.076677290869851e-21,1.9460663772967613e-23,2.325532518447064e-23,5.1895326498071774e-24,8.886971164564816e-26,2.4959635248675752e-33,7.000000000000001e-26,2.658229847954962e-30,-4.8038622961392693e-23,0.9999250000000001,1.5602047e-09,7.496689200000001e-05,0.0001,1.8488543000000002e-12,0.00018041455999999998
3,9.936619987120128e-07,1000.0,633.24,132.82,1e-50,1.0022754361925262e-21,4.0750553124913596e-21,1.3840259222013007e-30,1.6698768437315442e-44,1.5636246012847753e-29,4.7398921507007337e-29,5.076788303731036e-21,1.9461651355723158e-23,2.3255745803024813e-23,5.189796040858022e-24,8.887195508104429e-26,2.4960926392425995e-33,7.000000000000001e-26,2.6577986043831815e-30,-4.803376397694858e-23,0.9999250000000001,1.5602857000000003e-09,7.4964159e-05,0.0001,1.8489028999999996e-12,0.00018041184
4,3.89918e-06,1000.0,632.82,132.82,1e-50,1.002176146161104e-21,4.07622516324775e-21,1.3843080187723333e-30,1.6701877131402127e-44,1.5610541881399723e-29,4.733095977329268e-29,5.077856384561768e-21,1.9471153446998188e-23,2.3259787019673195e-23,5.192329930068338e-24,8.889354310303369e-26,2.4973347768132617e-33,7.000000000000001e-26,2.6536540661529185e-30,-4.798704118189994e-23,0.9999250000000001,1.5610622e-09,7.493787e-05,0.0001,1.8493700000000002e-12,0.00018038557000000003
5,6.905322001287987e-06,1000.0,632.39,132.82,1e-50,1.0020735606907783e-21,4.07742559378775e-21,1.384599226159697e-30,1.6705088978297598e-44,1.5583931270812266e-29,4.7260626215171015e-29,5.078960469723838e-21,1.9480974881496848e-23,2.326395766831578e-23,5.194948981893044e-24,8.891586625686488e-26,2.4986187101868298e-33,7.000000000000001e-26,2.6493765338654788e-30,-4.7938791472600455e-23,0.9999250000000001,1.5618647000000003e-09,7.491070000000001e-05,0.0001,1.8498520999999994e-12,0.00018035845000000006
6,9.905175000643994e-06,1000.0,631.96,132.82,1e-50,1.0019713365560323e-21,4.0786223909438445e-21,1.3848894952035563e-30,1.6708287200789456e-44,1.5557360256292231e-29,4.7190422493536747e-29,5.080061255632903e-21,1.9490765992765393e-23,2.3268108876301758e-23,5.197559935259623e-24,8.893813012093919e-26,2.4998987223218353e-33,7.000000000000001e-26,2.6451186211303913e-30,-4.7890734915078756e-23,0.9999250000000001,1.5626647000000001e-09,7.488362099999999e-05,0.0001,1.8503328000000003e-12,0.00018033142000000005
7,3.900437800128799e-05,1000.0,633.36,132.82,1e-50,1.0023008575503553e-21,4.074564299162486e-21,1.3841091761414822e-30,1.6702332348667122e-44,1.564639075228505e-29,4.7426684598999417e-29,5.076325751058983e-21,1.945935427492495e-23,2.3254553541035606e-23,5.189183497479259e-24,8.886544818787397e-26,2.4961044324739167e-33,7.000000000000001e-26,2.659241046827721e-30,-4.804373254531599e-23,0.9999250000000001,1.5602931000000004e-09,7.4972061e-05,0.0001,1.8489872e-12,0.00018041974
8,6.9002908e-05,1000.0,633.35,132.82,1e-50,1.0022941928683342e-21,4.074500476197612e-21,1.3842446677091103e-30,1.6705893805688085e-44,1.564741593438125e-29,4.743011432013386e-29,5.076251876457779e-21,1.9460095392174535e-23,2.3254704295928762e-23,5.1893811315078264e-24,8.886613950891605e-26,2.4964413515623365e-33,7.000000000000001e-26,2.6592554478390247e-30,-4.803906147673198e-23,0.9999250000000001,1.5605036000000007e-09,7.49712e-05,0.0001,1.849171e-12,0.00018041888
9,9.900143799871202e-05,1000.0,633.335,132.81,1e-50,1.00228746296038e-21,4.074436799924474e-21,1.3843798258261187e-30,1.670945648362614e-44,1.5648424691397776e-29,4.7433500671751664e-29,5.076178686842035e-21,1.9460842544557333e-23,2.3254857611509493e-23,5.189580373428841e-24,8.886684453728433e-26,2.4967790862157635e-33,7.000000000000001e-26,2.659267206258961e-30,-4.8034361420912305e-23,0.9999250000000001,1.5607146999999995e-09,7.4970319e-05,0.0001,1.8493546000000006e-12,0.00018041799000000002
10,0.000389999756999356,1000.0,633.19,132.79,1e-50,1.0022185301135044e-21,4.07386830624674e-21,1.3856931391541807e-30,1.6744154079800087e-44,1.565735632716627e-29,4.7464095653638433e-29,5.075504235848754e-21,1.946840306246115e-23,2.3256477622764643e-23,5.191596532381878e-24,8.88743952797173e-26,2.5000976184571167e-33,7.000000000000001e-26,2.6592442721363148e-30,-4.7987267812662045e-23,0.9999250000000001,1.5627889999999998e-09,7.4960937e-05,0.0001,1.8511409e-12,0.00018040862999999993
11,0.000690003924,1000.0,633.01,132.77,1e-50,1.002140959948063e-21,4.073330851611579e-21,1.3870611114825155e-30,1.6780176898885648e-44,1.566494056897992e-29,4.7491351448675813e-29,5.07487618360894e-21,1.9476790732969713e-23,2.3258399083718172e-23,5.193833262799877e-24,8.888352867772804e-26,2.5035993339482573e-33,7.000000000000001e-26,2.6589609855007306e-30,-4.793587795946231e-23,0.9999250000000001,1.5649778999999999e-09,7.494962899999998e-05,0.0001,1.8530070000000003e-12,0.0001803973300000001
12,0.000990001802001288,1000.0,632.8,132.75,1e-50,1.0020572753927244e-21,4.072856415886925e-21,1.388446001887035e-30,1.681645376145633e-44,1.5670870956315208e-29,4.7514243650768544e-29,5.07431622772017e-21,1.9485779400226106e-23,2.3260574480139098e-23,5.196230257214324e-24,8.889402885568179e-26,2.5071827787061397e-33,7.000000000000001e-26,2.658414781162902e-30,-4.788162320880977e-23,0.9999250000000001,1.5672178999999996e-09,7.493667e-05,0.0001,1.8549012e-12,0.00018038438000000004
13,0.003900003859000644,1000.0,629.47,132.52,1e-50,1.0009102867719493e-21,4.0715547316760396e-21,1.402816694089182e-30,1.718161252418956e-44,1.564135036047928e-29,4.750721223534473e-29,5.072370082532517e-21,1.9603911090916378e-23,2.3294553028970485e-23,5.227731955374607e-24,8.906626754770719e-26,2.5462009926837818e-33,7.000000000000001e-26,2.6396760582862334e-30,-4.7210400362974555e-23,0.9999250000000001,1.5916041999999999e-09,7.47261e-05,0.0001,1.8748283000000006e-12,0.00018017409
14,0.006900001506001288,1000.0,630.32,132.29,1e-50,1.000783443149368e-21,4.0597043160762986e-21,1.4149375331394345e-30,1.7536658283531504e-44,1.5884097264957422e-29,4.8222590130953854e-29,5.059285365534078e-21,1.962823943231826e-23,2.3288390349118554e-23,5.234220121652577e-24,8.902080724011616e-26,2.57418382303808e-33,7.000000000000001e-26,2.663097682238052e-30,-4.6994245524120435e-23,0.9999250000000001,1.6091016999999997e-09,7.4778737e-05,0.0001,1.8908417999999995e-12,0.00018022665
