CH2,PHOTON,,CH,H,,,7.20E-10,0,1.7,10,41000
CH2,CRPHOT,,CH2+,E-,,,1.30E-17,0,500,10,41000
CH2,CRPHOT,,CH,H,,,1.30E-17,0,500,10,41000
CH2+,O,,HCO+,H,,,7.50E-10,0,0,10,41000
CH2+,O2,,HCO+,OH,,,9.10E-10,0,0,10,41000
CH2+,E-,,CH,H,,,1.35E-07,-0.55,0,10,1000
CH2+,E-,,C,H,H,,4.03E-07,-0.6,0,100,1000
CH2+,E-,,C,H2,,,1.00E-07,-0.55,0,10,1000
CH2+,PHOTON,,CH+,H,,,1.70E-09,0,1.7,10,41000
CH3,CH3,,CH4,CH2,,,7.13E-12,0,5052,1950,2300
CH3,OH,,CH4,O,,,3.27E-14,2.2,2240,298,2500
CH3,OH,,H2O,CH2,,,1.20E-10,0,1400,300,1000
CH3,H2O,,OH,CH4,,,2.30E-15,3.47,6681,300,3000
CH3,PHOTON,,CH3+,E-,,,1.00E-10,0,2.1,10,41000
CH3,PHOTON,,CH2,H,,,2.50E-10,0,1.9,10,41000
CH3,PHOTON,,CH,H2,,,2.50E-10,0,1.9,10,41000
CH3,CRPHOT,,CH3+,E-,,,1.30E-17,0,500,10,41000
CH3,CRPHOT,,CH2,H,,,1.30E-17,0,500,10,41000
CH3,CRPHOT,,CH,H2,,,1.30E-17,0,500,10,41000
CH3+,O,,HCO+,H2,,,4.00E-10,0,0,10,41000
CH3+,MG,,MG+,CH3,,,3.50E-09,0,0,10,41000
CH3+,E-,,CH2,H,,,1.40E-07,-0.5,0,10,300
CH3+,E-,,CH,H2,,,4.90E-08,-0.5,0,10,300
CH3+,E-,,CH,H,H,,5.60E-08,-0.5,0,10,300
CH3+,E-,,C,H2,H,,1.05E-07,-0.5,0,10,300
CH3+,E-,,CH3,PHOTON,,,1.10E-10,-0.5,0,10,300
CH3+,PHOTON,,CH2+,H,,,1.00E-09,0,1.7,10,41000
CH3+,PHOTON,,CH+,H2,,,1.00E-09,0,1.7,10,41000
CH4,OH,,H2O,CH3,,,3.77E-13,2.42,1162,178,3000
CH4,OH+,,CH5+,O,,,1.95E-10,0,0,10,41000
CH4,OH+,,H3O+,CH2,,,1.31E-09,0,0,10,41000
CH4,H2O+,,H3O+,CH3,,,1.40E-09,0,0,10,41000
CH4,CO+,,HCO+,CH3,,,4.55E-10,0,0,10,41000
CH4,CO+,,CO,CH4+,,,7.93E-10,0,0,10,41000
CH4,PHOTON,,CH3,H,,,2.20E-10,0,2.2,10,41000
CH4,PHOTON,,CH2,H2,,,9.80E-10,0,2.2,10,41000
CH4,PHOTON,,CH,H2,H,,2.20E-10,0,2.2,10,41000
CH4,CRPHOT,,CH2,H2,,,1.30E-17,0,2339,10,41000
CH4+,CH4,,CH5+,CH3,,,1.50E-09,0,0,10,41000
CH4+,H2O,,H3O+,CH3,,,2.60E-09,0,0,10,41000
CH4+,CO,,HCO+,CH3,,,1.40E-09,0,0,10,41000
CH4+,O2,,O2+,CH4,,,4.00E-10,0,0,10,41000
CH4+,E-,,CH3,H,,,1.75E-07,-0.5,0,10,300
CH4+,E-,,CH2,H,H,,1.75E-07,-0.5,0,10,300
CH5+,H2O,,H3O+,CH4,,,3.70E-09,0,0,10,41000
CH5+,MG,,MG+,CH4,H,,1.40E-09,0,0,10,41000
CH5+,CO,,HCO+,CH4,,,1.00E-09,0,0,10,41000
CH5+,E-,,CH3,H2,,,5.50E-07,-0.3,0,10,300
CH5+,E-,,CH4,H,,,5.50E-07,-0.3,0,10,300
CO,PHOTON,,O,C,,,2.00E-10,0,2.5,10,41000
CO,CRP,,CO+,E-,,,3.90E-17,0,0,10,41000
CO,CRPHOT,,O,C,,,1.30E-17,1.17,210,10,41000
CO+,O2,,O2+,CO,,,1.20E-10,0,0,10,41000
CO+,E-,,O,C,,,2.00E-07,-0.48,0,10,10000
H,CH,,C,H2,,,2.70E-11,0.38,0,300,2000
H,CH2,,CH,H2,,,6.64E-11,0,0,300,2500
H,CH3,,CH2,H2,,,1.00E-10,0,7600,300,2500
H,CH4,,CH3,H2,,,5.94E-13,3,4045,300,2500
H,OH,,O,H2,,,6.99E-14,2.8,1950,300,2500
H,H2O,,OH,H2,,,1.59E-11,1.2,9610,250,3000
H,CO,,OH,C,,,1.10E-10,0.5,77700,2590,41000
H,O2,,OH,O,,,2.61E-10,0,8156,250,4000
H,CH+,,C+,H2,,,7.50E-10,0,0,10,300
H,CH2+,,CH+,H2,,,1.00E-09,0,7080,236,300
H,CH3+,,CH2+,H2,,,7.00E-10,0,10560,352,41000
H,CH4+,,CH3+,H2,,,1.00E-11,0,0,10,41000
H,CH5+,,CH4+,H2,,,2.00E-11,0,0,10,41000
H,H2+,,H2,H+,,,6.40E-10,0,0,10,41000
H,HE+,,HE,H+,,,4.85E-15,0.18,0,10,1000
H,HE+,,HE,H+,,,3.28E-15,0.5,0,1000,41000
