Particle X(H3+) X(He+) X(Mg) X(CH5+) X(O2) X(H2+) X(CH4+) X(O+) X(OH+) X(Mg+) X(C+) X(CH4) X(H2O+) X(H3O+) X(CO+) X(O2+) X(CH2) X(H2O) X(H+) X(CH3+) X(CH) X(CH3) X(HCO+) X(CH2+) X(C) X(He) X(CH+) X(CO) X(OH) X(O) X(H2) X(H) X(e-) 
12 1.29610E-15 1.82862E-07 2.50298E-08 5.36174E-22 9.02356E-12 1.65922E-14 1.11322E-22 5.32307E-11 7.09400E-12 4.97497E-06 9.97247E-05 2.18756E-20 6.95313E-14 1.69361E-16 6.86146E-14 3.66466E-14 1.32785E-15 3.33979E-12 6.00172E-06 2.57208E-15 6.18115E-13 6.83690E-17 6.98748E-15 2.13072E-13 2.75014E-07 9.99998E-02 2.16321E-12 3.13165E-10 7.05325E-10 2.99999E-04 6.88072E-04 9.98618E-01 1.10884E-04
13 1.29628E-15 1.82862E-07 2.50298E-08 5.36284E-22 9.02356E-12 1.65933E-14 1.11345E-22 5.32307E-11 7.09438E-12 4.97497E-06 9.97247E-05 2.18801E-20 6.95392E-14 1.69392E-16 6.86146E-14 3.66478E-14 1.32803E-15 3.33979E-12 6.00171E-06 2.57243E-15 6.18147E-13 6.83784E-17 6.98764E-15 2.13086E-13 2.75015E-07 9.99998E-02 2.16321E-12 3.13165E-10 7.05325E-10 2.99999E-04 6.88119E-04 9.98618E-01 1.10884E-04
14 1.29637E-15 1.82862E-07 2.50298E-08 5.36339E-22 9.02356E-12 1.65939E-14 1.11356E-22 5.32307E-11 7.09456E-12 4.97497E-06 9.97247E-05 2.18823E-20 6.95431E-14 1.69408E-16 6.86146E-14 3.66484E-14 1.32812E-15 3.33979E-12 6.00171E-06 2.57261E-15 6.18164E-13 6.83831E-17 6.98771E-15 2.13093E-13 2.75015E-07 9.99998E-02 2.16321E-12 3.13165E-10 7.05325E-10 2.99999E-04 6.88143E-04 9.98618E-01 1.10884E-04
15 1.29654E-15 1.82862E-07 2.50298E-08 5.36449E-22 9.02357E-12 1.65950E-14 1.11379E-22 5.32306E-11 7.09494E-12 4.97497E-06 9.97247E-05 2.18868E-20 6.95511E-14 1.69439E-16 6.86146E-14 3.66496E-14 1.32830E-15 3.33979E-12 6.00171E-06 2.57296E-15 6.18196E-13 6.83924E-17 6.98786E-15 2.13108E-13 2.75016E-07 9.99998E-02 2.16321E-12 3.13165E-10 7.05325E-10 2.99999E-04 6.88190E-04 9.98618E-01 1.10884E-04
16 1.29672E-15 1.82862E-07 2.50298E-08 5.36560E-22 9.02357E-12 1.65961E-14 1.11402E-22 5.32306E-11 7.09532E-12 4.97497E-06 9.97247E-05 2.18913E-20 6.95590E-14 1.69470E-16 6.86146E-14 3.66508E-14 1.32848E-15 3.33980E-12 6.00171E-06 2.57331E-15 6.18228E-13 6.84018E-17 6.98802E-15 2.13122E-13 2.75017E-07 9.99998E-02 2.16321E-12 3.13165E-10 7.05325E-10 2.99999E-04 6.88237E-04 9.98618E-01 1.10884E-04
17 1.29681E-15 1.82862E-07 2.50298E-08 5.36615E-22 9.02357E-12 1.65967E-14 1.11413E-22 5.32306E-11 7.09551E-12 4.97497E-06 9.97247E-05 2.18936E-20 6.95629E-14 1.69485E-16 6.86146E-14 3.66514E-14 1.32857E-15 3.33980E-12 6.00170E-06 2.57349E-15 6.18245E-13 6.84065E-17 6.98809E-15 2.13130E-13 2.75017E-07 9.99998E-02 2.16321E-12 3.13165E-10 7.05325E-10 2.99999E-04 6.88261E-04 9.98617E-01 1.10884E-04
18 1.29699E-15 1.82862E-07 2.50298E-08 5.36725E-22 9.02357E-12 1.65978E-14 1.11436E-22 5.32305E-11 7.09588E-12 4.97497E-06 9.97247E-05 2.18981E-20 6.95708E-14 1.69516E-16 6.86146E-14 3.66526E-14 1.32875E-15 3.33980E-12 6.00170E-06 2.57384E-15 6.18277E-13 6.84158E-17 6.98825E-15 2.13144E-13 2.75018E-07 9.99998E-02 2.16321E-12 3.13165E-10 7.05325E-10 2.99999E-04 6.88308E-04 9.98617E-01 1.10884E-04
19 1.29707E-15 1.82862E-07 2.50298E-08 5.36780E-22 9.02357E-12 1.65984E-14 1.11448E-22 5.32305E-11 7.09607E-12 4.97497E-06 9.97247E-05 2.19003E-20 6.95748E-14 1.69532E-16 6.86146E-14 3.66532E-14 1.32884E-15 3.33980E-12 6.00170E-06 2.57402E-15 6.18293E-13 6.84205E-17 6.98832E-15 2.13152E-13 2.75018E-07 9.99998E-02 2.16321E-12 3.13165E-10 7.05326E-10 2.99999E-04 6.88332E-04 9.98617E-01 1.10884E-04
20 1.29725E-15 1.82862E-07 2.50298E-08 5.36890E-22 9.02358E-12 1.65995E-14 1.11471E-22 5.32305E-11 7.09645E-12 4.97497E-06 9.97247E-05 2.19048E-20 6.95827E-14 1.69562E-16 6.86147E-14 3.66544E-14 1.32902E-15 3.33980E-12 6.00170E-06 2.57437E-15 6.18326E-13 6.84299E-17 6.98847E-15 2.13166E-13 2.75019E-07 9.99998E-02 2.16321E-12 3.13165E-10 7.05326E-10 2.99999E-04 6.88379E-04 9.98617E-01 1.10884E-04
21 1.29734E-15 1.82862E-07 2.50298E-08 5.36946E-22 9.02358E-12 1.66000E-14 1.11482E-22 5.32305E-11 7.09664E-12 4.97497E-06 9.97247E-05 2.19071E-20 6.95867E-14 1.69578E-16 6.86147E-14 3.66550E-14 1.32911E-15 3.33981E-12 6.00170E-06 2.57454E-15 6.18342E-13 6.84346E-17 6.98855E-15 2.13173E-13 2.75019E-07 9.99998E-02 2.16321E-12 3.13165E-10 7.05326E-10 2.99999E-04 6.88402E-04 9.98617E-01 1.10884E-04
