Particle Photoelectic H2Form H2Pumping H2Photodis CIPhotoion Cosmic-Rays Turbulence Chemistry Gas-Grain Coulomb Total 
35 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
36 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
37 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
38 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
39 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
40 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
41 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
42 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
43 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
44 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
45 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
46 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
47 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
48 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
49 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
50 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
51 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
52 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
53 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
54 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
55 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
56 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
57 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
58 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
59 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
60 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
61 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
62 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
63 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
64 5.07294E-21 1.93233E-23 6.77264E-24 5.15292E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
65 5.07294E-21 1.93233E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
66 5.07294E-21 1.93233E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
67 5.07294E-21 1.93233E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
68 5.07294E-21 1.93233E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
69 5.07294E-21 1.93233E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
70 5.07294E-21 1.93233E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
71 5.07294E-21 1.93233E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
72 5.07294E-21 1.93233E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
73 5.07294E-21 1.93233E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
74 5.07294E-21 1.93233E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
75 5.07294E-21 1.93233E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
76 5.07294E-21 1.93233E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10093E-21
77 5.07294E-21 1.93233E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
78 5.07294E-21 1.93233E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
79 5.07294E-21 1.93233E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
80 5.07294E-21 1.93233E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
81 5.07294E-21 1.93234E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
82 5.07294E-21 1.93234E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
83 5.07294E-21 1.93234E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
84 5.07294E-21 1.93234E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
85 5.07294E-21 1.93234E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
86 5.07294E-21 1.93234E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
87 5.07294E-21 1.93234E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
88 5.07294E-21 1.93234E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
89 5.07294E-21 1.93234E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
90 5.07294E-21 1.93234E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
91 5.07294E-21 1.93234E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
92 5.07294E-21 1.93234E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
93 5.07294E-21 1.93234E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
94 5.07294E-21 1.93234E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48233E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
95 5.07294E-21 1.93234E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48234E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
96 5.07294E-21 1.93234E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48234E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
97 5.07294E-21 1.93234E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48234E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
98 5.07294E-21 1.93234E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48234E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
99 5.07294E-21 1.93234E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48234E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
100 5.07294E-21 1.93234E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48234E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
101 5.07294E-21 1.93234E-23 6.77264E-24 5.15293E-24 8.86581E-26 2.48234E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
102 5.07294E-21 1.93234E-23 6.77265E-24 5.15293E-24 8.86581E-26 2.48234E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
103 5.07294E-21 1.93234E-23 6.77265E-24 5.15294E-24 8.86581E-26 2.48234E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
104 5.07294E-21 1.93234E-23 6.77265E-24 5.15294E-24 8.86581E-26 2.48235E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
105 5.07294E-21 1.93234E-23 6.77265E-24 5.15294E-24 8.86581E-26 2.48235E-33 7.00000E-26 2.70878E-30 -3.42667E-24 0.00000E+00 5.10092E-21
106 5.07294E-21 1.93234E-23 6.77265E-24 5.15294E-24 8.86581E-26 2.48235E-33 7.00000E-26 2.70878E-30 -3.42666E-24 0.00000E+00 5.10092E-21
107 5.07294E-21 1.93234E-23 6.77265E-24 5.15294E-24 8.86581E-26 2.48235E-33 7.00000E-26 2.70878E-30 -3.42666E-24 0.00000E+00 5.10092E-21
108 5.07294E-21 1.93234E-23 6.77265E-24 5.15294E-24 8.86581E-26 2.48235E-33 7.00000E-26 2.70878E-30 -3.42666E-24 0.00000E+00 5.10092E-21
109 5.07294E-21 1.93234E-23 6.77265E-24 5.15294E-24 8.86581E-26 2.48235E-33 7.00000E-26 2.70878E-30 -3.42666E-24 0.00000E+00 5.10092E-21
