Particle [HI] [CII] [OI] [CI] CO p-H2 o-H2 Total 
48 3.34335E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92307E-44 1.59080E-29 4.81108E-29 5.10108E-21
49 3.34334E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92597E-44 1.59080E-29 4.81108E-29 5.10108E-21
50 3.34333E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92512E-44 1.59080E-29 4.81108E-29 5.10108E-21
51 3.34333E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92479E-44 1.59080E-29 4.81108E-29 5.10108E-21
52 3.34332E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92483E-44 1.59080E-29 4.81108E-29 5.10108E-21
53 3.34332E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92874E-44 1.59080E-29 4.81108E-29 5.10108E-21
54 3.34331E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93040E-44 1.59080E-29 4.81108E-29 5.10108E-21
55 3.34330E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92945E-44 1.59080E-29 4.81108E-29 5.10108E-21
56 3.34330E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93683E-44 1.59080E-29 4.81108E-29 5.10108E-21
57 3.34329E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93438E-44 1.59080E-29 4.81108E-29 5.10108E-21
58 3.34329E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93371E-44 1.59080E-29 4.81109E-29 5.10108E-21
59 3.34328E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93376E-44 1.59080E-29 4.81109E-29 5.10108E-21
60 3.34327E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92772E-44 1.59080E-29 4.81109E-29 5.10108E-21
61 3.34327E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93256E-44 1.59080E-29 4.81109E-29 5.10108E-21
62 3.34326E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93038E-44 1.59080E-29 4.81109E-29 5.10108E-21
63 3.34325E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92784E-44 1.59080E-29 4.81109E-29 5.10108E-21
64 3.34325E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93630E-44 1.59080E-29 4.81109E-29 5.10108E-21
65 3.34324E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92703E-44 1.59080E-29 4.81109E-29 5.10108E-21
66 3.34323E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92810E-44 1.59080E-29 4.81109E-29 5.10108E-21
67 3.34323E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92780E-44 1.59080E-29 4.81109E-29 5.10108E-21
68 3.34322E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93365E-44 1.59080E-29 4.81109E-29 5.10108E-21
69 3.34321E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92552E-44 1.59080E-29 4.81109E-29 5.10108E-21
70 3.34321E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92820E-44 1.59080E-29 4.81109E-29 5.10108E-21
71 3.34320E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93742E-44 1.59080E-29 4.81109E-29 5.10108E-21
72 3.34319E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.94292E-44 1.59080E-29 4.81109E-29 5.10108E-21
73 3.34319E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.94309E-44 1.59080E-29 4.81109E-29 5.10108E-21
74 3.34318E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.94450E-44 1.59080E-29 4.81109E-29 5.10108E-21
75 3.34318E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93176E-44 1.59080E-29 4.81109E-29 5.10108E-21
76 3.34317E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.94490E-44 1.59080E-29 4.81109E-29 5.10108E-21
77 3.34316E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92530E-44 1.59080E-29 4.81109E-29 5.10108E-21
78 3.34316E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92926E-44 1.59080E-29 4.81109E-29 5.10108E-21
79 3.34315E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93211E-44 1.59080E-29 4.81109E-29 5.10108E-21
80 3.34315E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92643E-44 1.59080E-29 4.81109E-29 5.10108E-21
81 3.34314E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92615E-44 1.59080E-29 4.81109E-29 5.10108E-21
82 3.34314E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93655E-44 1.59080E-29 4.81109E-29 5.10108E-21
83 3.34313E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93388E-44 1.59080E-29 4.81109E-29 5.10108E-21
84 3.34312E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92819E-44 1.59080E-29 4.81109E-29 5.10108E-21
85 3.34312E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93789E-44 1.59080E-29 4.81109E-29 5.10108E-21
86 3.34311E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93523E-44 1.59080E-29 4.81109E-29 5.10108E-21
87 3.34310E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93886E-44 1.59080E-29 4.81109E-29 5.10108E-21
88 3.34310E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.95521E-44 1.59080E-29 4.81109E-29 5.10108E-21
89 3.34309E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93868E-44 1.59080E-29 4.81109E-29 5.10108E-21
90 3.34309E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93521E-44 1.59080E-29 4.81109E-29 5.10108E-21
91 3.34308E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93295E-44 1.59080E-29 4.81109E-29 5.10108E-21
92 3.34307E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92776E-44 1.59080E-29 4.81109E-29 5.10108E-21
93 3.34301E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.93789E-44 1.59080E-29 4.81109E-29 5.10108E-21
94 3.34295E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.95908E-44 1.59080E-29 4.81109E-29 5.10108E-21
95 3.34289E-97 1.00348E-21 4.09760E-21 1.38148E-30 5.92658E-44 1.59080E-29 4.81109E-29 5.10108E-21
96 3.34282E-97 1.00348E-21 4.09760E-21 1.38149E-30 5.93253E-44 1.59080E-29 4.81109E-29 5.10108E-21
97 3.34276E-97 1.00348E-21 4.09760E-21 1.38149E-30 5.92965E-44 1.59080E-29 4.81109E-29 5.10108E-21
98 3.34270E-97 1.00348E-21 4.09760E-21 1.38149E-30 5.94684E-44 1.59080E-29 4.81109E-29 5.10108E-21
99 3.34264E-97 1.00348E-21 4.09760E-21 1.38149E-30 5.95757E-44 1.59080E-29 4.81109E-29 5.10108E-21
100 3.34257E-97 1.00348E-21 4.09760E-21 1.38149E-30 5.94285E-44 1.59080E-29 4.81110E-29 5.10108E-21
101 3.34251E-97 1.00348E-21 4.09760E-21 1.38149E-30 5.95563E-44 1.59080E-29 4.81110E-29 5.10108E-21
102 3.34245E-97 1.00348E-21 4.09760E-21 1.38149E-30 5.93814E-44 1.59080E-29 4.81110E-29 5.10108E-21
103 3.34239E-97 1.00348E-21 4.09760E-21 1.38149E-30 5.93494E-44 1.59080E-29 4.81110E-29 5.10108E-21
104 3.34233E-97 1.00348E-21 4.09760E-21 1.38149E-30 5.96198E-44 1.59080E-29 4.81110E-29 5.10107E-21
105 3.34226E-97 1.00348E-21 4.09760E-21 1.38149E-30 5.94212E-44 1.59080E-29 4.81110E-29 5.10107E-21
106 3.34220E-97 1.00348E-21 4.09760E-21 1.38149E-30 5.94398E-44 1.59080E-29 4.81110E-29 5.10107E-21
107 3.34214E-97 1.00348E-21 4.09760E-21 1.38149E-30 5.93317E-44 1.59080E-29 4.81110E-29 5.10107E-21
108 3.34208E-97 1.00348E-21 4.09760E-21 1.38149E-30 5.93095E-44 1.59080E-29 4.81110E-29 5.10107E-21
109 3.34201E-97 1.00348E-21 4.09760E-21 1.38149E-30 5.92626E-44 1.59080E-29 4.81110E-29 5.10107E-21
110 3.34195E-97 1.00348E-21 4.09760E-21 1.38149E-30 5.92627E-44 1.59080E-29 4.81110E-29 5.10107E-21
111 3.34189E-97 1.00348E-21 4.09760E-21 1.38149E-30 5.93489E-44 1.59080E-29 4.81110E-29 5.10107E-21
112 3.34183E-97 1.00348E-21 4.09759E-21 1.38149E-30 5.93382E-44 1.59080E-29 4.81111E-29 5.10107E-21
113 3.34177E-97 1.00348E-21 4.09759E-21 1.38149E-30 5.93423E-44 1.59080E-29 4.81111E-29 5.10107E-21
114 3.34170E-97 1.00348E-21 4.09759E-21 1.38149E-30 5.93144E-44 1.59080E-29 4.81111E-29 5.10107E-21
115 3.34164E-97 1.00348E-21 4.09759E-21 1.38150E-30 5.93309E-44 1.59080E-29 4.81111E-29 5.10107E-21
116 3.34158E-97 1.00348E-21 4.09759E-21 1.38150E-30 5.93252E-44 1.59080E-29 4.81111E-29 5.10107E-21
117 3.34152E-97 1.00348E-21 4.09759E-21 1.38150E-30 5.93265E-44 1.59080E-29 4.81111E-29 5.10107E-21
118 3.34145E-97 1.00348E-21 4.09759E-21 1.38150E-30 5.93483E-44 1.59081E-29 4.81111E-29 5.10107E-21
119 3.34139E-97 1.00348E-21 4.09759E-21 1.38150E-30 5.92828E-44 1.59081E-29 4.81111E-29 5.10107E-21
120 3.34133E-97 1.00348E-21 4.09759E-21 1.38150E-30 5.93121E-44 1.59081E-29 4.81111E-29 5.10107E-21
121 3.34127E-97 1.00348E-21 4.09759E-21 1.38150E-30 5.93421E-44 1.59081E-29 4.81111E-29 5.10107E-21
122 3.34121E-97 1.00348E-21 4.09759E-21 1.38150E-30 5.93146E-44 1.59081E-29 4.81111E-29 5.10107E-21
123 3.34114E-97 1.00348E-21 4.09759E-21 1.38150E-30 5.94371E-44 1.59081E-29 4.81112E-29 5.10107E-21
124 3.34108E-97 1.00348E-21 4.09759E-21 1.38150E-30 5.93654E-44 1.59081E-29 4.81112E-29 5.10107E-21
125 3.34102E-97 1.00348E-21 4.09759E-21 1.38150E-30 5.95065E-44 1.59081E-29 4.81112E-29 5.10107E-21
126 3.34096E-97 1.00348E-21 4.09759E-21 1.38150E-30 5.93467E-44 1.59081E-29 4.81112E-29 5.10107E-21
127 3.34089E-97 1.00348E-21 4.09759E-21 1.38150E-30 5.94301E-44 1.59081E-29 4.81112E-29 5.10107E-21
128 3.34083E-97 1.00348E-21 4.09759E-21 1.38150E-30 5.94616E-44 1.59081E-29 4.81112E-29 5.10107E-21
129 3.34077E-97 1.00348E-21 4.09759E-21 1.38150E-30 5.95381E-44 1.59081E-29 4.81112E-29 5.10107E-21
130 3.34071E-97 1.00348E-21 4.09759E-21 1.38150E-30 5.94263E-44 1.59081E-29 4.81112E-29 5.10107E-21
131 3.34064E-97 1.00348E-21 4.09759E-21 1.38150E-30 5.93845E-44 1.59081E-29 4.81112E-29 5.10107E-21
132 3.34059E-97 1.00348E-21 4.09759E-21 1.38150E-30 5.93707E-44 1.59081E-29 4.81112E-29 5.10107E-21
133 3.34052E-97 1.00348E-21 4.09759E-21 1.38150E-30 5.93218E-44 1.59081E-29 4.81112E-29 5.10106E-21
134 3.34046E-97 1.00348E-21 4.09759E-21 1.38150E-30 5.93808E-44 1.59081E-29 4.81113E-29 5.10106E-21
135 3.34040E-97 1.00348E-21 4.09759E-21 1.38150E-30 5.92977E-44 1.59081E-29 4.81113E-29 5.10106E-21
136 3.34033E-97 1.00348E-21 4.09759E-21 1.38150E-30 5.95107E-44 1.59081E-29 4.81113E-29 5.10106E-21
137 3.34027E-97 1.00348E-21 4.09759E-21 1.38151E-30 5.95013E-44 1.59081E-29 4.81113E-29 5.10106E-21
138 3.34021E-97 1.00348E-21 4.09759E-21 1.38151E-30 5.92776E-44 1.59081E-29 4.81113E-29 5.10106E-21
139 3.34015E-97 1.00348E-21 4.09759E-21 1.38151E-30 5.93182E-44 1.59081E-29 4.81113E-29 5.10106E-21
140 3.34008E-97 1.00348E-21 4.09759E-21 1.38151E-30 5.94056E-44 1.59081E-29 4.81113E-29 5.10106E-21
141 3.34002E-97 1.00348E-21 4.09759E-21 1.38151E-30 5.93367E-44 1.59081E-29 4.81113E-29 5.10106E-21
142 3.33996E-97 1.00348E-21 4.09759E-21 1.38151E-30 5.96095E-44 1.59081E-29 4.81113E-29 5.10106E-21
143 3.33990E-97 1.00348E-21 4.09758E-21 1.38151E-30 5.93258E-44 1.59081E-29 4.81113E-29 5.10106E-21
144 3.33984E-97 1.00348E-21 4.09758E-21 1.38151E-30 5.97523E-44 1.59081E-29 4.81113E-29 5.10106E-21
145 3.33978E-97 1.00348E-21 4.09758E-21 1.38151E-30 5.94109E-44 1.59081E-29 4.81114E-29 5.10106E-21
146 3.33971E-97 1.00348E-21 4.09758E-21 1.38151E-30 5.93483E-44 1.59081E-29 4.81114E-29 5.10106E-21
147 3.33965E-97 1.00348E-21 4.09758E-21 1.38151E-30 5.93801E-44 1.59081E-29 4.81114E-29 5.10106E-21
148 3.33959E-97 1.00348E-21 4.09758E-21 1.38151E-30 5.92447E-44 1.59081E-29 4.81114E-29 5.10106E-21
149 3.33953E-97 1.00348E-21 4.09758E-21 1.38151E-30 5.92691E-44 1.59081E-29 4.81114E-29 5.10106E-21
150 3.33946E-97 1.00348E-21 4.09758E-21 1.38151E-30 5.92470E-44 1.59081E-29 4.81114E-29 5.10106E-21
151 3.33940E-97 1.00348E-21 4.09758E-21 1.38151E-30 5.94240E-44 1.59081E-29 4.81114E-29 5.10106E-21
152 3.33934E-97 1.00348E-21 4.09758E-21 1.38151E-30 5.94969E-44 1.59081E-29 4.81114E-29 5.10106E-21
153 3.33928E-97 1.00348E-21 4.09758E-21 1.38151E-30 5.93149E-44 1.59081E-29 4.81114E-29 5.10106E-21
154 3.33922E-97 1.00348E-21 4.09758E-21 1.38151E-30 5.92527E-44 1.59081E-29 4.81114E-29 5.10106E-21
155 3.33915E-97 1.00348E-21 4.09758E-21 1.38151E-30 5.94307E-44 1.59081E-29 4.81114E-29 5.10106E-21
156 3.33909E-97 1.00348E-21 4.09758E-21 1.38151E-30 5.93899E-44 1.59081E-29 4.81114E-29 5.10106E-21
157 3.33903E-97 1.00348E-21 4.09758E-21 1.38152E-30 5.95182E-44 1.59081E-29 4.81115E-29 5.10106E-21
158 3.33897E-97 1.00348E-21 4.09758E-21 1.38152E-30 5.94787E-44 1.59082E-29 4.81115E-29 5.10106E-21
159 3.33890E-97 1.00348E-21 4.09758E-21 1.38152E-30 5.93927E-44 1.59082E-29 4.81115E-29 5.10106E-21
160 3.33884E-97 1.00348E-21 4.09758E-21 1.38152E-30 5.93665E-44 1.59082E-29 4.81115E-29 5.10106E-21
161 3.33878E-97 1.00348E-21 4.09758E-21 1.38152E-30 5.93094E-44 1.59082E-29 4.81115E-29 5.10106E-21
162 3.33872E-97 1.00348E-21 4.09758E-21 1.38152E-30 5.93626E-44 1.59082E-29 4.81115E-29 5.10105E-21
