Particle Photoelectic H2Form H2Pumping H2Photodis CIPhotoion Cosmic-Rays Turbulence Chemistry Gas-Grain Coulomb Total 
35 3.09030E-19 5.79159E-18 6.92928E-17 1.49512E-18 4.36984E-20 7.57512E-24 2.21359E-23 1.48073E-19 -8.86630E-19 0.00000E+00 7.61937E-17
36 3.09030E-19 5.79159E-18 6.92928E-17 1.49512E-18 4.36984E-20 7.57512E-24 2.21359E-23 1.48073E-19 -8.86630E-19 0.00000E+00 7.61937E-17
37 3.09026E-19 5.79119E-18 6.92847E-17 1.49495E-18 4.37302E-20 7.59215E-24 2.21359E-23 1.48492E-19 -8.86630E-19 0.00000E+00 7.61855E-17
38 3.09026E-19 5.79119E-18 6.92847E-17 1.49495E-18 4.37302E-20 7.59215E-24 2.21359E-23 1.48492E-19 -8.86630E-19 0.00000E+00 7.61855E-17
39 3.09021E-19 5.79079E-18 6.92766E-17 1.49478E-18 4.37621E-20 7.60926E-24 2.21359E-23 1.48911E-19 -8.86630E-19 0.00000E+00 7.61773E-17
40 3.09021E-19 5.79079E-18 6.92766E-17 1.49478E-18 4.37621E-20 7.60926E-24 2.21359E-23 1.48911E-19 -8.86630E-19 0.00000E+00 7.61773E-17
41 3.09016E-19 5.79038E-18 6.92685E-17 1.49461E-18 4.37940E-20 7.62644E-24 2.21359E-23 1.49331E-19 -8.86630E-19 0.00000E+00 7.61690E-17
42 3.09016E-19 5.79038E-18 6.92685E-17 1.49461E-18 4.37940E-20 7.62644E-24 2.21359E-23 1.49331E-19 -8.86630E-19 0.00000E+00 7.61690E-17
43 3.09034E-19 5.79554E-18 6.93269E-17 1.49595E-18 4.38222E-20 7.65141E-24 2.21359E-23 1.49757E-19 -8.85553E-19 0.00000E+00 7.62355E-17
44 3.09034E-19 5.79554E-18 6.93269E-17 1.49595E-18 4.38222E-20 7.65141E-24 2.21359E-23 1.49757E-19 -8.85553E-19 0.00000E+00 7.62355E-17
45 3.09029E-19 5.79513E-18 6.93187E-17 1.49578E-18 4.38542E-20 7.66878E-24 2.21359E-23 1.50180E-19 -8.85553E-19 0.00000E+00 7.62271E-17
46 3.09029E-19 5.79513E-18 6.93187E-17 1.49578E-18 4.38542E-20 7.66878E-24 2.21359E-23 1.50180E-19 -8.85553E-19 0.00000E+00 7.62271E-17
47 3.09023E-19 5.79472E-18 6.93104E-17 1.49560E-18 4.38863E-20 7.68622E-24 2.21359E-23 1.50604E-19 -8.85553E-19 0.00000E+00 7.62187E-17
48 3.09023E-19 5.79472E-18 6.93104E-17 1.49560E-18 4.38863E-20 7.68622E-24 2.21359E-23 1.50604E-19 -8.85553E-19 0.00000E+00 7.62187E-17
49 3.09018E-19 5.79431E-18 6.93021E-17 1.49543E-18 4.39183E-20 7.70375E-24 2.21359E-23 1.51030E-19 -8.85553E-19 0.00000E+00 7.62103E-17
50 3.09018E-19 5.79431E-18 6.93021E-17 1.49543E-18 4.39183E-20 7.70375E-24 2.21359E-23 1.51030E-19 -8.85553E-19 0.00000E+00 7.62103E-17
51 3.09012E-19 5.79389E-18 6.92938E-17 1.49526E-18 4.39504E-20 7.72135E-24 2.21359E-23 1.51457E-19 -8.85553E-19 0.00000E+00 7.62018E-17
52 3.09012E-19 5.79389E-18 6.92938E-17 1.49526E-18 4.39504E-20 7.72135E-24 2.21359E-23 1.51457E-19 -8.85553E-19 0.00000E+00 7.62018E-17
53 3.09028E-19 5.79906E-18 6.93509E-17 1.49657E-18 4.39786E-20 7.74671E-24 2.21359E-23 1.51885E-19 -8.84475E-19 0.00000E+00 7.62669E-17
54 3.09028E-19 5.79906E-18 6.93509E-17 1.49657E-18 4.39786E-20 7.74671E-24 2.21359E-23 1.51885E-19 -8.84475E-19 0.00000E+00 7.62669E-17
55 3.09022E-19 5.79863E-18 6.93424E-17 1.49639E-18 4.40107E-20 7.76450E-24 2.21359E-23 1.52315E-19 -8.84475E-19 0.00000E+00 7.62584E-17
56 3.09022E-19 5.79863E-18 6.93424E-17 1.49639E-18 4.40107E-20 7.76450E-24 2.21359E-23 1.52315E-19 -8.84475E-19 0.00000E+00 7.62584E-17
57 3.09015E-19 5.79821E-18 6.93340E-17 1.49622E-18 4.40429E-20 7.78238E-24 2.21359E-23 1.52746E-19 -8.84475E-19 0.00000E+00 7.62498E-17
58 3.09015E-19 5.79821E-18 6.93340E-17 1.49622E-18 4.40429E-20 7.78238E-24 2.21359E-23 1.52746E-19 -8.84475E-19 0.00000E+00 7.62498E-17
59 3.09009E-19 5.79779E-18 6.93255E-17 1.49604E-18 4.40750E-20 7.80033E-24 2.21359E-23 1.53178E-19 -8.84475E-19 0.00000E+00 7.62411E-17
60 3.09009E-19 5.79779E-18 6.93255E-17 1.49604E-18 4.40750E-20 7.80033E-24 2.21359E-23 1.53178E-19 -8.84475E-19 0.00000E+00 7.62411E-17
61 3.09024E-19 5.80299E-18 6.93835E-17 1.49737E-18 4.41035E-20 7.82625E-24 2.21359E-23 1.53613E-19 -8.83389E-19 0.00000E+00 7.63072E-17
62 3.09024E-19 5.80299E-18 6.93835E-17 1.49737E-18 4.41035E-20 7.82625E-24 2.21359E-23 1.53613E-19 -8.83389E-19 0.00000E+00 7.63072E-17
63 3.09016E-19 5.80246E-18 6.93934E-17 1.49759E-18 4.41397E-20 7.84650E-24 2.21359E-23 1.54099E-19 -8.83399E-19 0.00000E+00 7.63173E-17
64 3.09016E-19 5.80246E-18 6.93934E-17 1.49759E-18 4.41397E-20 7.84650E-24 2.21359E-23 1.54099E-19 -8.83399E-19 0.00000E+00 7.63173E-17
65 3.09008E-19 5.80203E-18 6.93847E-17 1.49741E-18 4.41720E-20 7.86473E-24 2.21359E-23 1.54535E-19 -8.83399E-19 0.00000E+00 7.63085E-17
66 3.09008E-19 5.80203E-18 6.93847E-17 1.49741E-18 4.41720E-20 7.86473E-24 2.21359E-23 1.54535E-19 -8.83399E-19 0.00000E+00 7.63085E-17
67 3.09001E-19 5.80160E-18 6.93759E-17 1.49722E-18 4.42042E-20 7.88305E-24 2.21359E-23 1.54972E-19 -8.83399E-19 0.00000E+00 7.62995E-17
68 3.09001E-19 5.80160E-18 6.93759E-17 1.49722E-18 4.42042E-20 7.88305E-24 2.21359E-23 1.54972E-19 -8.83399E-19 0.00000E+00 7.62995E-17
69 3.08993E-19 5.80116E-18 6.93671E-17 1.49704E-18 4.42365E-20 7.90145E-24 2.21359E-23 1.55410E-19 -8.83399E-19 0.00000E+00 7.62905E-17
