Particle [HI] [CII] [OI] [CI] CO p-H2 o-H2 Total 
48 2.73584E-57 1.55685E-19 5.77434E-17 7.92827E-21 1.16069E-18 4.01819E-18 1.31354E-17 7.62212E-17
49 2.72858E-57 1.55279E-19 5.77252E-17 7.93411E-21 1.16442E-18 4.02721E-18 1.31649E-17 7.62449E-17
50 2.72858E-57 1.55279E-19 5.77252E-17 7.93411E-21 1.16442E-18 4.02721E-18 1.31649E-17 7.62449E-17
51 2.72131E-57 1.54872E-19 5.77069E-17 7.93995E-21 1.16817E-18 4.03628E-18 1.31945E-17 7.62687E-17
52 2.72131E-57 1.54872E-19 5.77069E-17 7.93995E-21 1.16817E-18 4.03628E-18 1.31945E-17 7.62687E-17
53 2.46782E-57 1.54511E-19 5.76831E-17 7.94466E-21 1.17166E-18 4.02985E-18 1.31728E-17 7.62199E-17
54 2.46782E-57 1.54511E-19 5.76831E-17 7.94466E-21 1.17166E-18 4.02985E-18 1.31728E-17 7.62199E-17
55 2.46120E-57 1.54103E-19 5.76646E-17 7.95051E-21 1.17545E-18 4.03897E-18 1.32027E-17 7.62438E-17
56 2.46120E-57 1.54103E-19 5.76646E-17 7.95051E-21 1.17545E-18 4.03897E-18 1.32027E-17 7.62438E-17
57 2.45457E-57 1.53694E-19 5.76461E-17 7.95636E-21 1.17926E-18 4.04813E-18 1.32326E-17 7.62677E-17
58 2.45457E-57 1.53694E-19 5.76461E-17 7.95636E-21 1.17926E-18 4.04813E-18 1.32326E-17 7.62677E-17
59 2.44794E-57 1.53285E-19 5.76275E-17 7.96221E-21 1.18309E-18 4.05733E-18 1.32627E-17 7.62918E-17
60 2.44794E-57 1.53285E-19 5.76275E-17 7.96221E-21 1.18309E-18 4.05733E-18 1.32627E-17 7.62918E-17
61 2.21759E-57 1.52920E-19 5.76033E-17 7.96695E-21 1.18667E-18 4.05072E-18 1.32404E-17 7.62420E-17
62 2.21759E-57 1.52920E-19 5.76033E-17 7.96695E-21 1.18667E-18 4.05072E-18 1.32404E-17 7.62420E-17
63 2.21266E-57 1.52460E-19 5.75824E-17 7.97352E-21 1.19100E-18 4.06122E-18 1.32747E-17 7.62697E-17
64 2.21266E-57 1.52460E-19 5.75824E-17 7.97352E-21 1.19100E-18 4.06122E-18 1.32747E-17 7.62697E-17
65 2.20662E-57 1.52049E-19 5.75635E-17 7.97938E-21 1.19489E-18 4.07052E-18 1.33051E-17 7.62940E-17
66 2.20662E-57 1.52049E-19 5.75635E-17 7.97938E-21 1.19489E-18 4.07052E-18 1.33051E-17 7.62940E-17
67 2.20058E-57 1.51637E-19 5.75446E-17 7.98524E-21 1.19880E-18 4.07986E-18 1.33356E-17 7.63185E-17
68 2.20058E-57 1.51637E-19 5.75446E-17 7.98524E-21 1.19880E-18 4.07986E-18 1.33356E-17 7.63185E-17
69 2.19453E-57 1.51225E-19 5.75256E-17 7.99110E-21 1.20273E-18 4.08923E-18 1.33663E-17 7.63430E-17
70 2.19453E-57 1.51225E-19 5.75256E-17 7.99110E-21 1.20273E-18 4.08923E-18 1.33663E-17 7.63430E-17
71 1.98986E-57 1.50904E-19 5.75033E-17 7.99519E-21 1.20595E-18 4.08161E-18 1.33406E-17 7.62904E-17
72 1.98986E-57 1.50904E-19 5.75033E-17 7.99519E-21 1.20595E-18 4.08161E-18 1.33406E-17 7.62904E-17
73 1.98435E-57 1.50490E-19 5.74841E-17 8.00106E-21 1.20992E-18 4.09105E-18 1.33715E-17 7.63150E-17
74 1.98435E-57 1.50490E-19 5.74841E-17 8.00106E-21 1.20992E-18 4.09105E-18 1.33715E-17 7.63150E-17
75 1.97883E-57 1.50075E-19 5.74649E-17 8.00694E-21 1.21391E-18 4.10053E-18 1.34025E-17 7.63398E-17
76 1.97883E-57 1.50075E-19 5.74649E-17 8.00694E-21 1.21391E-18 4.10053E-18 1.34025E-17 7.63398E-17
77 1.97331E-57 1.49660E-19 5.74455E-17 8.01281E-21 1.21792E-18 4.11005E-18 1.34336E-17 7.63647E-17
78 1.97331E-57 1.49660E-19 5.74455E-17 8.01281E-21 1.21792E-18 4.11005E-18 1.34336E-17 7.63647E-17
79 1.78831E-57 1.49287E-19 5.74206E-17 8.01761E-21 1.22169E-18 4.10347E-18 1.34113E-17 7.63144E-17
80 1.78831E-57 1.49287E-19 5.74206E-17 8.01761E-21 1.22169E-18 4.10347E-18 1.34113E-17 7.63144E-17
81 1.78328E-57 1.48870E-19 5.74011E-17 8.02350E-21 1.22574E-18 4.11305E-18 1.34427E-17 7.63395E-17
82 1.78328E-57 1.48870E-19 5.74011E-17 8.02350E-21 1.22574E-18 4.11305E-18 1.34427E-17 7.63395E-17
83 1.77825E-57 1.48453E-19 5.73815E-17 8.02939E-21 1.22982E-18 4.12267E-18 1.34741E-17 7.63646E-17
84 1.77825E-57 1.48453E-19 5.73815E-17 8.02939E-21 1.22982E-18 4.12267E-18 1.34741E-17 7.63646E-17
85 1.77322E-57 1.48035E-19 5.73618E-17 8.03527E-21 1.23392E-18 4.13234E-18 1.35057E-17 7.63899E-17
86 1.77322E-57 1.48035E-19 5.73618E-17 8.03527E-21 1.23392E-18 4.13234E-18 1.35057E-17 7.63899E-17
87 1.60663E-57 1.47661E-19 5.73367E-17 8.04007E-21 1.23775E-18 4.12566E-18 1.34832E-17 7.63389E-17
88 1.60663E-57 1.47661E-19 5.73367E-17 8.04007E-21 1.23775E-18 4.12566E-18 1.34832E-17 7.63389E-17
89 1.60205E-57 1.47241E-19 5.73168E-17 8.04597E-21 1.24190E-18 4.13539E-18 1.35149E-17 7.63643E-17
90 1.60205E-57 1.47241E-19 5.73168E-17 8.04597E-21 1.24190E-18 4.13539E-18 1.35149E-17 7.63643E-17
91 1.59747E-57 1.46821E-19 5.72969E-17 8.05187E-21 1.24606E-18 4.14517E-18 1.35469E-17 7.63898E-17
92 1.59747E-57 1.46821E-19 5.72969E-17 8.05187E-21 1.24606E-18 4.14517E-18 1.35469E-17 7.63898E-17
93 1.43025E-57 1.44739E-19 5.71897E-17 8.08051E-21 1.26708E-18 4.17836E-18 1.36546E-17 7.64425E-17
94 1.28023E-57 1.42670E-19 5.70816E-17 8.10880E-21 1.28837E-18 4.21161E-18 1.37625E-17 7.64948E-17
95 1.03993E-57 1.40612E-19 5.69651E-17 8.13632E-21 1.31010E-18 4.22866E-18 1.38166E-17 7.64691E-17
96 9.55381E-58 1.38481E-19 5.68528E-17 8.16523E-21 1.33285E-18 4.26858E-18 1.39463E-17 7.65472E-17
97 0.00000E+00 4.34295E-19 1.81965E-17 1.81760E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.81804E-17
98 0.00000E+00 4.34252E-19 1.81792E-17 1.81932E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.81631E-17
99 0.00000E+00 4.31590E-19 1.76786E-17 1.83366E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.76598E-17
100 0.00000E+00 4.33087E-19 1.79371E-17 1.82838E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.79198E-17
101 0.00000E+00 4.33036E-19 1.79157E-17 1.83043E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.78984E-17
102 0.00000E+00 4.31899E-19 1.76921E-17 1.83759E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.76736E-17
103 0.00000E+00 4.28882E-19 1.71812E-17 1.85274E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.71597E-17
104 0.00000E+00 4.29302E-19 1.72376E-17 1.85247E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.72165E-17
105 0.00000E+00 4.29236E-19 1.72092E-17 1.85513E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.71881E-17
106 0.00000E+00 4.27914E-19 1.69754E-17 1.86308E-21 1.33285E-18 4.26858E-18 1.39463E-17 3.69530E-17
