Particle X(H3+) X(He+) X(Mg) X(CH5+) X(O2) X(H2+) X(CH4+) X(O+) X(OH+) X(Mg+) X(C+) X(CH4) X(H2O+) X(H3O+) X(CO+) X(O2+) X(CH2) X(H2O) X(H+) X(CH3+) X(CH) X(CH3) X(HCO+) X(CH2+) X(C) X(He) X(CH+) X(CO) X(OH) X(O) X(H2) X(H) X(e-) 
12 5.72466E-13 9.41528E-11 4.32824E-09 1.56482E-15 8.82779E-08 5.48050E-14 1.77348E-15 1.24599E-09 5.34725E-09 4.99567E-06 2.72354E-05 3.46350E-14 1.19735E-08 4.40172E-09 1.24286E-10 7.65851E-10 7.24011E-11 2.57931E-06 5.64834E-06 1.48910E-09 4.28156E-10 2.09582E-11 5.93706E-08 4.50531E-10 2.85327E-05 1.00000E-01 9.30984E-10 4.41690E-05 4.44691E-06 2.48544E-04 1.45163E-02 9.70952E-01 3.79656E-05
13 5.72378E-13 9.40511E-11 4.32911E-09 1.57989E-15 8.84847E-08 5.45638E-14 1.79198E-15 1.23980E-09 5.32283E-09 4.99567E-06 2.71694E-05 3.48811E-14 1.19684E-08 4.42037E-09 1.24251E-10 7.65409E-10 7.26734E-11 2.59578E-06 5.62181E-06 1.49790E-09 4.29416E-10 2.10486E-11 5.97328E-08 4.51143E-10 2.85544E-05 1.00000E-01 9.30798E-10 4.42129E-05 4.45643E-06 2.48474E-04 1.45481E-02 9.70889E-01 3.78735E-05
14 5.72378E-13 9.40511E-11 4.32911E-09 1.57989E-15 8.84847E-08 5.45638E-14 1.79198E-15 1.23980E-09 5.32283E-09 4.99567E-06 2.71694E-05 3.48811E-14 1.19684E-08 4.42037E-09 1.24251E-10 7.65409E-10 7.26734E-11 2.59578E-06 5.62181E-06 1.49790E-09 4.29416E-10 2.10486E-11 5.97328E-08 4.51143E-10 2.85544E-05 1.00000E-01 9.30798E-10 4.42129E-05 4.45643E-06 2.48474E-04 1.45481E-02 9.70889E-01 3.78735E-05
15 5.71745E-13 9.39645E-11 4.33331E-09 1.59515E-15 8.91424E-08 5.42420E-14 1.81026E-15 1.23375E-09 5.29461E-09 4.99567E-06 2.71118E-05 3.53141E-14 1.19521E-08 4.43704E-09 1.24210E-10 7.66098E-10 7.28411E-11 2.61124E-06 5.59607E-06 1.50436E-09 4.28676E-10 2.12125E-11 6.00258E-08 4.50853E-10 2.85735E-05 1.00000E-01 9.28375E-10 4.42511E-05 4.46423E-06 2.48410E-04 1.45944E-02 9.70796E-01 3.77904E-05
16 5.71745E-13 9.39645E-11 4.33331E-09 1.59515E-15 8.91424E-08 5.42420E-14 1.81026E-15 1.23375E-09 5.29461E-09 4.99567E-06 2.71118E-05 3.53141E-14 1.19521E-08 4.43704E-09 1.24210E-10 7.66098E-10 7.28411E-11 2.61124E-06 5.59607E-06 1.50436E-09 4.28676E-10 2.12125E-11 6.00258E-08 4.50853E-10 2.85735E-05 1.00000E-01 9.28375E-10 4.42511E-05 4.46423E-06 2.48410E-04 1.45944E-02 9.70796E-01 3.77904E-05
17 5.71652E-13 9.38624E-11 4.33419E-09 1.61058E-15 8.93523E-08 5.40014E-14 1.82922E-15 1.22756E-09 5.27019E-09 4.99567E-06 2.70456E-05 3.55658E-14 1.19468E-08 4.45589E-09 1.24173E-10 7.65651E-10 7.31154E-11 2.62801E-06 5.56956E-06 1.51328E-09 4.29941E-10 2.13042E-11 6.03938E-08 4.51462E-10 2.85952E-05 1.00000E-01 9.28182E-10 4.42953E-05 4.47383E-06 2.48339E-04 1.46264E-02 9.70732E-01 3.76980E-05
18 5.71652E-13 9.38624E-11 4.33419E-09 1.61058E-15 8.93523E-08 5.40014E-14 1.82922E-15 1.22756E-09 5.27019E-09 4.99567E-06 2.70456E-05 3.55658E-14 1.19468E-08 4.45589E-09 1.24173E-10 7.65651E-10 7.31154E-11 2.62801E-06 5.56956E-06 1.51328E-09 4.29941E-10 2.13042E-11 6.03938E-08 4.51462E-10 2.85952E-05 1.00000E-01 9.28182E-10 4.42953E-05 4.47383E-06 2.48339E-04 1.46264E-02 9.70732E-01 3.76980E-05
19 5.71556E-13 9.37603E-11 4.33509E-09 1.62617E-15 8.95629E-08 5.37610E-14 1.84841E-15 1.22138E-09 5.24579E-09 4.99566E-06 2.69793E-05 3.58196E-14 1.19414E-08 4.47483E-09 1.24136E-10 7.65201E-10 7.33909E-11 2.64492E-06 5.54306E-06 1.52227E-09 4.31210E-10 2.13964E-11 6.07646E-08 4.52069E-10 2.86169E-05 1.00000E-01 9.27985E-10 4.43395E-05 4.48346E-06 2.48268E-04 1.46586E-02 9.70667E-01 3.76056E-05
20 5.71556E-13 9.37603E-11 4.33509E-09 1.62617E-15 8.95629E-08 5.37610E-14 1.84841E-15 1.22138E-09 5.24579E-09 4.99566E-06 2.69793E-05 3.58196E-14 1.19414E-08 4.47483E-09 1.24136E-10 7.65201E-10 7.33909E-11 2.64492E-06 5.54306E-06 1.52227E-09 4.31210E-10 2.13964E-11 6.07646E-08 4.52069E-10 2.86169E-05 1.00000E-01 9.27985E-10 4.43395E-05 4.48346E-06 2.48268E-04 1.46586E-02 9.70667E-01 3.76056E-05
21 5.71457E-13 9.36580E-11 4.33598E-09 1.64195E-15 8.97744E-08 5.35210E-14 1.86784E-15 1.21521E-09 5.22139E-09 4.99566E-06 2.69129E-05 3.60754E-14 1.19358E-08 4.49386E-09 1.24098E-10 7.64748E-10 7.36675E-11 2.66197E-06 5.51659E-06 1.53133E-09 4.32485E-10 2.14889E-11 6.11382E-08 4.52676E-10 2.86386E-05 1.00000E-01 9.27784E-10 4.43838E-05 4.49313E-06 2.48196E-04 1.46910E-02 9.70603E-01 3.75131E-05
