Particle X(H3+) X(He+) X(Mg) X(CH5+) X(O2) X(H2+) X(CH4+) X(O+) X(OH+) X(Mg+) X(C+) X(CH4) X(H2O+) X(H3O+) X(CO+) X(O2+) X(CH2) X(H2O) X(H+) X(CH3+) X(CH) X(CH3) X(HCO+) X(CH2+) X(C) X(He) X(CH+) X(CO) X(OH) X(O) X(H2) X(H) X(e-) 
12 1.49957E-16 5.47618E-07 5.40467E-09 1.63599E-24 2.79872E-13 1.09630E-14 3.60824E-25 7.81458E-10 1.87728E-11 4.99460E-06 9.99590E-05 1.15457E-23 3.32820E-14 1.41987E-17 1.25056E-14 7.23729E-14 2.75595E-17 1.92256E-14 2.26955E-05 6.92976E-17 4.82437E-14 2.92088E-19 2.74647E-16 3.60035E-14 4.10270E-08 9.99995E-02 2.16738E-12 9.51767E-12 1.25183E-10 2.99999E-04 1.22205E-04 9.99733E-01 1.28197E-04
13 1.49961E-16 5.47618E-07 5.40468E-09 1.63605E-24 2.79872E-13 1.09631E-14 3.60837E-25 7.81458E-10 1.87730E-11 4.99460E-06 9.99590E-05 1.15461E-23 3.32828E-14 1.41992E-17 1.25056E-14 7.23737E-14 2.75601E-17 1.92257E-14 2.26955E-05 6.92992E-17 4.82442E-14 2.92096E-19 2.74650E-16 3.60039E-14 4.10271E-08 9.99995E-02 2.16738E-12 9.51767E-12 1.25183E-10 2.99999E-04 1.22207E-04 9.99733E-01 1.28197E-04
14 1.49962E-16 5.47618E-07 5.40468E-09 1.63608E-24 2.79872E-13 1.09632E-14 3.60844E-25 7.81458E-10 1.87731E-11 4.99460E-06 9.99590E-05 1.15463E-23 3.32832E-14 1.41995E-17 1.25056E-14 7.23741E-14 2.75605E-17 1.92257E-14 2.26955E-05 6.93001E-17 4.82444E-14 2.92099E-19 2.74651E-16 3.60041E-14 4.10271E-08 9.99995E-02 2.16738E-12 9.51767E-12 1.25183E-10 2.99999E-04 1.22207E-04 9.99733E-01 1.28197E-04
15 1.49966E-16 5.47618E-07 5.40468E-09 1.63614E-24 2.79872E-13 1.09633E-14 3.60857E-25 7.81458E-10 1.87733E-11 4.99460E-06 9.99590E-05 1.15468E-23 3.32840E-14 1.42000E-17 1.25056E-14 7.23749E-14 2.75611E-17 1.92257E-14 2.26955E-05 6.93018E-17 4.82448E-14 2.92106E-19 2.74654E-16 3.60046E-14 4.10272E-08 9.99995E-02 2.16738E-12 9.51767E-12 1.25183E-10 2.99999E-04 1.22209E-04 9.99733E-01 1.28197E-04
16 1.49969E-16 5.47618E-07 5.40468E-09 1.63620E-24 2.79872E-13 1.09634E-14 3.60870E-25 7.81458E-10 1.87735E-11 4.99460E-06 9.99590E-05 1.15472E-23 3.32847E-14 1.42005E-17 1.25056E-14 7.23757E-14 2.75618E-17 1.92257E-14 2.26955E-05 6.93035E-17 4.82453E-14 2.92113E-19 2.74657E-16 3.60050E-14 4.10272E-08 9.99995E-02 2.16738E-12 9.51767E-12 1.25183E-10 2.99999E-04 1.22210E-04 9.99733E-01 1.28197E-04
17 1.49971E-16 5.47618E-07 5.40468E-09 1.63623E-24 2.79872E-13 1.09635E-14 3.60877E-25 7.81458E-10 1.87737E-11 4.99460E-06 9.99590E-05 1.15474E-23 3.32851E-14 1.42007E-17 1.25056E-14 7.23761E-14 2.75621E-17 1.92257E-14 2.26955E-05 6.93043E-17 4.82455E-14 2.92117E-19 2.74658E-16 3.60052E-14 4.10272E-08 9.99995E-02 2.16738E-12 9.51767E-12 1.25183E-10 2.99999E-04 1.22211E-04 9.99733E-01 1.28197E-04
18 1.49974E-16 5.47618E-07 5.40468E-09 1.63629E-24 2.79872E-13 1.09636E-14 3.60890E-25 7.81458E-10 1.87739E-11 4.99460E-06 9.99590E-05 1.15478E-23 3.32859E-14 1.42012E-17 1.25056E-14 7.23769E-14 2.75628E-17 1.92257E-14 2.26955E-05 6.93060E-17 4.82460E-14 2.92124E-19 2.74661E-16 3.60057E-14 4.10273E-08 9.99995E-02 2.16738E-12 9.51767E-12 1.25183E-10 2.99999E-04 1.22213E-04 9.99733E-01 1.28197E-04
19 1.49976E-16 5.47618E-07 5.40468E-09 1.63632E-24 2.79872E-13 1.09636E-14 3.60897E-25 7.81458E-10 1.87740E-11 4.99460E-06 9.99590E-05 1.15480E-23 3.32863E-14 1.42015E-17 1.25056E-14 7.23772E-14 2.75631E-17 1.92257E-14 2.26955E-05 6.93069E-17 4.82462E-14 2.92128E-19 2.74663E-16 3.60059E-14 4.10273E-08 9.99995E-02 2.16738E-12 9.51767E-12 1.25183E-10 2.99999E-04 1.22213E-04 9.99733E-01 1.28197E-04
20 1.49979E-16 5.47618E-07 5.40468E-09 1.63638E-24 2.79872E-13 1.09637E-14 3.60910E-25 7.81458E-10 1.87742E-11 4.99460E-06 9.99590E-05 1.15484E-23 3.32871E-14 1.42020E-17 1.25056E-14 7.23780E-14 2.75638E-17 1.92257E-14 2.26955E-05 6.93086E-17 4.82467E-14 2.92135E-19 2.74666E-16 3.60063E-14 4.10274E-08 9.99995E-02 2.16738E-12 9.51767E-12 1.25183E-10 2.99999E-04 1.22215E-04 9.99733E-01 1.28197E-04
21 1.49981E-16 5.47618E-07 5.40468E-09 1.63641E-24 2.79872E-13 1.09638E-14 3.60917E-25 7.81458E-10 1.87743E-11 4.99460E-06 9.99590E-05 1.15487E-23 3.32875E-14 1.42023E-17 1.25056E-14 7.23784E-14 2.75641E-17 1.92257E-14 2.26955E-05 6.93094E-17 4.82469E-14 2.92138E-19 2.74667E-16 3.60065E-14 4.10274E-08 9.99995E-02 2.16738E-12 9.51767E-12 1.25183E-10 2.99999E-04 1.22216E-04 9.99733E-01 1.28197E-04
