Particle [HI] [CII] [OI] [CI] CO p-H2 o-H2 Total
48 0.00000E+00 4.60671E-22 1.92297E-22 2.23867E-26 1.35011E-33 1.83146E-27 2.79158E-28 6.52992E-22
49 0.00000E+00 4.60671E-22 1.92297E-22 2.23867E-26 1.35013E-33 1.83148E-27 2.79162E-28 6.52992E-22
50 0.00000E+00 4.60671E-22 1.92297E-22 2.23868E-26 1.35014E-33 1.83150E-27 2.79165E-28 6.52992E-22
51 0.00000E+00 4.60671E-22 1.92297E-22 2.23868E-26 1.35015E-33 1.83152E-27 2.79167E-28 6.52992E-22
52 0.00000E+00 4.60671E-22 1.92297E-22 2.23868E-26 1.35017E-33 1.83154E-27 2.79170E-28 6.52992E-22
53 0.00000E+00 4.60671E-22 1.92297E-22 2.23868E-26 1.35018E-33 1.83155E-27 2.79172E-28 6.52992E-22
54 0.00000E+00 4.60671E-22 1.92297E-22 2.23868E-26 1.35019E-33 1.83157E-27 2.79175E-28 6.52992E-22
55 0.00000E+00 4.60671E-22 1.92297E-22 2.23868E-26 1.35021E-33 1.83159E-27 2.79179E-28 6.52992E-22
56 0.00000E+00 4.60671E-22 1.92297E-22 2.23868E-26 1.35022E-33 1.83161E-27 2.79180E-28 6.52992E-22
57 0.00000E+00 4.60671E-22 1.92297E-22 2.23869E-26 1.35023E-33 1.83163E-27 2.79184E-28 6.52992E-22
58 0.00000E+00 4.60671E-22 1.92297E-22 2.23869E-26 1.35024E-33 1.83164E-27 2.79186E-28 6.52992E-22
59 0.00000E+00 4.60671E-22 1.92297E-22 2.23869E-26 1.35026E-33 1.83166E-27 2.79189E-28 6.52992E-22
60 0.00000E+00 4.60671E-22 1.92297E-22 2.23869E-26 1.35027E-33 1.83167E-27 2.79191E-28 6.52992E-22
61 0.00000E+00 4.60671E-22 1.92297E-22 2.23869E-26 1.35028E-33 1.83169E-27 2.79194E-28 6.52992E-22
62 0.00000E+00 4.60671E-22 1.92297E-22 2.23869E-26 1.35030E-33 1.83172E-27 2.79197E-28 6.52992E-22
63 0.00000E+00 4.60671E-22 1.92297E-22 2.23869E-26 1.35031E-33 1.83173E-27 2.79199E-28 6.52992E-22
64 0.00000E+00 4.60671E-22 1.92297E-22 2.23869E-26 1.35033E-33 1.83175E-27 2.79203E-28 6.52992E-22
65 0.00000E+00 4.60671E-22 1.92297E-22 2.23870E-26 1.35033E-33 1.83176E-27 2.79204E-28 6.52992E-22
66 0.00000E+00 4.60671E-22 1.92297E-22 2.23870E-26 1.35035E-33 1.83178E-27 2.79208E-28 6.52992E-22
67 0.00000E+00 4.60671E-22 1.92297E-22 2.23870E-26 1.35037E-33 1.83181E-27 2.79211E-28 6.52992E-22
68 0.00000E+00 4.60671E-22 1.92297E-22 2.23870E-26 1.35038E-33 1.83182E-27 2.79213E-28 6.52992E-22
69 0.00000E+00 4.60671E-22 1.92297E-22 2.23870E-26 1.35039E-33 1.83184E-27 2.79216E-28 6.52992E-22
70 0.00000E+00 4.60671E-22 1.92297E-22 2.23870E-26 1.35040E-33 1.83185E-27 2.79218E-28 6.52992E-22
71 0.00000E+00 4.60671E-22 1.92297E-22 2.23870E-26 1.35042E-33 1.83187E-27 2.79221E-28 6.52992E-22
72 0.00000E+00 4.60671E-22 1.92297E-22 2.23871E-26 1.35043E-33 1.83190E-27 2.79225E-28 6.52992E-22
73 0.00000E+00 4.60671E-22 1.92297E-22 2.23871E-26 1.35044E-33 1.83191E-27 2.79226E-28 6.52992E-22
74 0.00000E+00 4.60671E-22 1.92297E-22 2.23871E-26 1.35046E-33 1.83193E-27 2.79230E-28 6.52992E-22
75 0.00000E+00 4.60671E-22 1.92297E-22 2.23871E-26 1.35047E-33 1.83194E-27 2.79231E-28 6.52992E-22
76 0.00000E+00 4.60671E-22 1.92297E-22 2.23871E-26 1.35048E-33 1.83196E-27 2.79235E-28 6.52992E-22
77 0.00000E+00 4.60671E-22 1.92297E-22 2.23871E-26 1.35050E-33 1.83198E-27 2.79238E-28 6.52992E-22
78 0.00000E+00 4.60671E-22 1.92297E-22 2.23871E-26 1.35051E-33 1.83200E-27 2.79240E-28 6.52992E-22
79 0.00000E+00 4.60671E-22 1.92297E-22 2.23871E-26 1.35053E-33 1.83202E-27 2.79243E-28 6.52992E-22
80 0.00000E+00 4.60671E-22 1.92297E-22 2.23871E-26 1.35053E-33 1.83203E-27 2.79245E-28 6.52992E-22
81 0.00000E+00 4.60671E-22 1.92297E-22 2.23872E-26 1.35055E-33 1.83205E-27 2.79248E-28 6.52992E-22
82 0.00000E+00 4.60671E-22 1.92297E-22 2.23872E-26 1.35056E-33 1.83206E-27 2.79250E-28 6.52992E-22
83 0.00000E+00 4.60671E-22 1.92297E-22 2.23872E-26 1.35058E-33 1.83209E-27 2.79253E-28 6.52992E-22
84 0.00000E+00 4.60671E-22 1.92297E-22 2.23872E-26 1.35059E-33 1.83211E-27 2.79257E-28 6.52992E-22
85 0.00000E+00 4.60671E-22 1.92297E-22 2.23872E-26 1.35060E-33 1.83212E-27 2.79259E-28 6.52992E-22
86 0.00000E+00 4.60671E-22 1.92297E-22 2.23872E-26 1.35062E-33 1.83214E-27 2.79262E-28 6.52992E-22
87 0.00000E+00 4.60671E-22 1.92297E-22 2.23872E-26 1.35063E-33 1.83215E-27 2.79264E-28 6.52992E-22
88 0.00000E+00 4.60671E-22 1.92296E-22 2.23872E-26 1.35064E-33 1.83217E-27 2.79267E-28 6.52992E-22
89 0.00000E+00 4.60671E-22 1.92296E-22 2.23873E-26 1.35066E-33 1.83220E-27 2.79270E-28 6.52992E-22
90 0.00000E+00 4.60671E-22 1.92296E-22 2.23873E-26 1.35067E-33 1.83221E-27 2.79272E-28 6.52992E-22
91 0.00000E+00 4.60671E-22 1.92296E-22 2.23873E-26 1.35068E-33 1.83223E-27 2.79275E-28 6.52992E-22
