Particle,T_g,n_H,H2_abun,C_abun,FUV,x,delta_x,delta_h2_col,delta_c_col,delta_col_dens,total_h2_col,total_c_col,total_col_dens,size
376,57.5857,1000.0,0.32054,3.36283e-07,1.7,-3.179774209e+19,159010000003072.0,5.0969065400984696e+16,53472359831.033066,1.59010000003072e+17,8.95713783819347e+17,1195243107630.3428,3.816190000001024e+18,3816190000001024.0
391,57.4749,1000.0,0.35405,3.54816e-07,1.7,-3.179535697e+19,159010000003072.0,5.629749050108764e+16,56419292161.09,1.59010000003072e+17,1.7066862421393984e+18,2021613578040.3718,6.201310000001024e+18,6201310000001024.0
406,57.3642,1000.0,0.374637,3.70319e-07,1.7,-3.179297186e+19,159000000004096.0,5.956728300153451e+16,58880721001.51682,1.59000000004096e+17,2.579057374869808e+18,2887650813900.7715,8.586420000002048e+18,8586420000002048.0
421,57.2538,1000.0,0.388916,3.84456e-07,1.7,-3.179058674e+19,159010000003072.0,6.184153316119475e+16,61132348561.181046,1.59010000003072e+17,3.491724140319836e+18,3788596464060.7993,1.0971540000002048e+19,1.0971540000002048e+16
436,57.106,1000.0,0.399564,3.9831699999999995e-07,1.7,-3.178820162e+19,159010000003072.0,6.353467164122746e+16,63336386171.223625,1.59010000003072e+17,4.433429150449853e+18,4723325001090.82,1.3356660000002048e+19,1.3356660000002048e+16
451,56.9586,1000.0,0.407937,4.1167200000000004e-07,1.7,-3.178581651e+19,159000000000000.0,6.4861983e+16,65455848000.00001,1.59e+17,5.397448306338615e+18,5690423803599.581,1.5741769999998976e+19,1.5741769999998976e+16
466,54.963,1000.0,0.445454,5.31729e-07,1.7,-3.176339641e+19,1590070000001024.0,7.083030417804561e+17,845486331030.5446,1.590070000001024e+18,1.5076807004359535e+19,16362855024420.66,3.816187000000102e+19,3.816187000000102e+16
481,52.6262,1000.0,0.46128100000000005,6.67107e-07,1.7,-3.173954524e+19,1590080000000000.0,7.334736924800001e+17,1060753498560.0001,1.59008e+18,2.592372279802907e+19,30741023671440.043,6.201304e+19,6.201304e+16
496,50.3243,1000.0,0.470276,8.19983e-07,1.7,-3.171569407e+19,1590080000000000.0,7.4777646208e+17,1303838568640.0,1.59008e+18,3.7048430013688594e+19,48557906189219.27,8.586420999999898e+19,8.586420999999898e+16
511,48.1582,1000.0,0.476249,9.94841e-07,1.7,-3.16918429e+19,1590080000000000.0,7.5727400992e+17,1581876777280.0002,1.59008e+18,4.834541901810005e+19,70285210600202.07,1.0971538000000205e+20,1.0971538000000205e+17
526,46.1844,1000.0,0.480562,1.19477e-06,1.7,-3.166799173e+19,1590080000000000.0,7.6413202496e+17,1899779881600.0,1.59008e+18,5.9762228352899555e+19,96481968405601.2,1.3356655000000102e+20,1.3356655000000102e+17
541,44.2964,1000.0,0.483755,1.4234799999999999e-06,1.7,-3.164414056e+19,1590080000000000.0,7.692091504e+17,2263447078399.9995,1.59008e+18,7.126707236000906e+19,127811864030200.19,1.5741772e+20,1.5741772e+17
556,30.5942,1000.0,0.495544,6.03956e-06,1.7,-3.141993958e+19,1.5900779999997952e+16,7.879536124318985e+18,96033714856787.64,1.5900779999997952e+19,1.8150149468527808e+20,900103637633887.1,3.81618699999998e+20,3.8161869999999795e+17
571,21.6831,1000.0,0.497758,2.00836e-05,1.7,-3.118142789e+19,1.5900780000002048e+16,7.914740451241019e+18,319344905208041.1,1.5900780000002048e+19,3.000504228339796e+20,3892111768662122.5,6.201303900000012e+20,6.20130390000001e+17
586,13.5511,1000.0,0.497033,4.53547e-05,1.7,-3.09429162e+19,1.5900779999997952e+16,7.903212385738982e+18,721175106665907.1,1.5900779999997952e+19,4.1873841920038915e+20,1.17382893550301e+16,8.586420800000004e+20,8.5864208e+17
601,10.0517,1000.0,0.49581899999999995,6.80112e-05,1.7,-3.070440452e+19,1.5900769999998976e+16,7.883903880629492e+18,1081430448623930.2,1.5900769999998976e+19,5.371217198724592e+20,2.5616396729197104e+16,1.0971537600000005e+21,1.09715376e+18
616,10.0,1000.0,0.49583999999999995,8.26037e-05,1.7,-3.046589283e+19,1.5900779999997952e+16,7.884242755198984e+18,1313463260885830.8,1.5900779999997952e+19,6.55372492511289e+20,4.381857691976503e+16,1.3356654499999994e+21,1.335665449999999e+18
631,10.0,1000.0,0.495937,9.034760000000001e-05,1.7,-3.022738114e+19,1.5900780000002048e+16,7.885785130861016e+18,1436597311128185.0,1.5900780000002048e+19,7.736440633697905e+20,6.4665215747734296e+16,1.574177140000003e+21,1.574177140000002e+18
646,10.0,1000.0,0.495909,7.99193e-05,1.7,-2.798537128e+19,1.5900779000000102e+17,7.885339413111051e+19,1.2707791271347082e+16,1.5900779000000102e+20,1.88547263782217e+21,2.5393051397951504e+17,3.816187e+21,3.816187e+18
661,10.0,1000.0,0.495911,7.97156e-05,1.7,-2.560025441e+19,1.5900779000000102e+17,7.88537121466905e+19,1.2675401384524082e+16,1.5900779000000102e+20,3.06831760486504e+21,4.440577201546243e+17,6.201303870000005e+21,6.201303870000001e+18
676,10.1905,1000.0,0.49603500000000006,7.95057e-05,1.7,-2.321513754e+19,1.5900779000000102e+17,7.887342911265051e+19,1.2642025649403082e+16,1.5900779000000102e+20,4.2512799196579926e+21,6.339232154061947e+17,8.586420740000012e+21,8.586420740000002e+18
691,10.4395,1000.0,0.496271,7.90829e-05,1.7,-2.083002067e+19,1.5900779000000102e+17,7.891095495109052e+19,1.257479715579108e+16,1.5900779000000102e+20,5.434586963343273e+21,8.231860234249837e+17,1.0971537610000015e+22,1.097153761e+19
706,10.7266,1000.0,0.496271,7.90829e-05,1.7,-1.84449038e+19,1.5900779000000102e+17,7.891095495109052e+19,1.257479715579108e+16,1.5900779000000102e+20,6.618251297535048e+21,1.011807982343507e+18,1.3356654480000022e+22,1.335665448e+19
721,10.9023,1000.0,0.496487,7.866310000000001e-05,1.7,-1.605978693e+19,1.5900779000000102e+17,7.894530063373051e+19,1.2508045685549082e+16,1.5900779000000102e+20,7.80232777992282e+21,1.19962892361073e+18,1.574177135000003e+22,1.574177135e+19
736,12.6279,1000.0,0.497337,7.66342e-05,1.7,6.360311655e+18,1.590077914000001e+18,7.908045795150185e+20,1.2185434887705888e+17,1.590077914000001e+21,1.8943720211234937e+22,2.940436858115171e+18,3.816186993500002e+22,3.8161869934999994e+19
751,13.3809,1000.0,0.497532,7.60608e-05,1.7,1.733184926e+19,1.5900778999999898e+17,7.911146377427948e+19,1.2094259713631922e+16,1.5900778999999896e+20,2.4401574400920056e+22,3.7774474162055163e+18,4.913340754000003e+22,4.913340753999998e+19
766,13.5027,1000.0,0.49761099999999997,7.58118e-05,1.7,1.971696613e+19,1.5900779000000102e+17,7.912402538969052e+19,1.2054666773922078e+16,1.5900779000000102e+20,2.558830933457052e+22,3.958662680897455e+18,5.1518524410000036e+22,5.151852440999995e+19
781,13.7084,1000.0,0.49761099999999997,7.58118e-05,1.7,2.2102083e+19,1.5900779000000102e+17,7.912402538969052e+19,1.2054666773922078e+16,1.5900779000000102e+20,2.6775177675757647e+22,4.1394561615229353e+18,5.3903641280000035e+22,5.390364127999992e+19
