Particle,T_g,n_H,H2_abun,C_abun,FUV,x,delta_x,delta_h2_col,delta_c_col,delta_col_dens,total_h2_col,total_c_col,total_col_dens,size
721,26.8095,316228.0,0.49999499999999997,3.06571e-08,100000.0,-5.078550543e+16,502826790000000.0,7.950316003450924e+19,4874721402201.93,1.5900791014812e+20,6.966524020769471e+21,1.1756773348243829e+17,1.5741782997146354e+22,4.977985187e+16
751,37.132,316228.0,0.499992,6.324830000000001e-10,100000.0,5.480811973e+16,502826790000000.0,7.950268301077881e+19,100569800034.2134,1.5900791014812e+20,2.3662089403133357e+22,1.1759405685168795e+17,4.913344389424286e+22,1.5537347703e+17
781,37.2707,316228.0,0.499992,6.324830000000001e-10,100000.0,6.989292332e+16,502826790000000.0,7.950268301077881e+19,100569800034.2134,1.5900791014812e+20,2.6047169876064488e+22,1.175970735754965e+17,5.390368116390143e+22,1.7045828062e+17
811,37.9778,316228.0,0.499992,6.396870000000001e-10,100000.0,8.497772692e+16,502826790000000.0,7.950268301077881e+19,101715293018.92044,1.5900791014812e+20,2.8432250350576733e+22,1.1760010738327587e+17,5.867391843672228e+22,1.8554308422e+17
841,38.5244,316228.0,0.499992,6.469229999999999e-10,100000.0,9.598963354e+16,50282680000000.0,7.950268459189351e+18,10286587630.250387,1.590079133104e+19,3.0173359095705785e+22,1.1760234452926173e+17,6.215619164335164e+22,1.9655499084e+17
871,38.5244,316228.0,0.499992,6.469229999999999e-10,100000.0,9.74981139e+16,50282680000000.0,7.950268459189351e+18,10286587630.250387,1.590079133104e+19,3.041186714315702e+22,1.176026531268825e+17,6.26332153706336e+22,1.980634712e+17
901,38.5869,316228.0,0.499992,6.469229999999999e-10,100000.0,9.900659426e+16,50282680000000.0,7.950268459189351e+18,10286587630.250387,1.590079133104e+19,3.065037519060826e+22,1.1760296135543e+17,6.311023909791556e+22,1.9957195156e+17
931,38.6066,316228.0,0.499992,6.445729999999999e-10,100000.0,1.001077849e+17,5028200000000.0,7.950160943389632e+17,1024908216.4841605,1.5900576296e+18,3.082448606164271e+22,1.1760318637385715e+17,6.34584664116214e+22,2.006731422e+17
961,38.6195,316228.0,0.499992,6.469229999999999e-10,100000.0,1.00258633e+17,5028300000000.0,7.950319054859808e+17,1028665309.4303651,1.5900892524e+18,3.0848336876506926e+22,1.1760321717612382e+17,6.350616880458818e+22,2.008239903e+17
991,38.6359,316228.0,0.499992,6.469229999999999e-10,100000.0,1.00409481e+17,5028300000000.0,7.950319054859808e+17,1028665309.4303651,1.5900892524e+18,3.0872187675559997e+22,1.1760324803587854e+17,6.355387116593216e+22,2.009748383e+17
1021,38.6359,316228.0,0.499992,6.469229999999999e-10,100000.0,1.005196001e+17,502900000000.0,7.95142583515104e+16,102880851.20468758,1.590310612e+17,3.0889598768355415e+22,1.1760327056351179e+17,6.358869390868695e+22,2.010849574e+17
1051,38.6359,316228.0,0.499992,6.469229999999999e-10,100000.0,1.005346849e+17,502900000000.0,7.95142583515104e+16,102880851.20468758,1.590310612e+17,3.0891983848260684e+22,1.1760327364948738e+17,6.359346414482141e+22,2.011000422e+17
1081,38.6359,316228.0,0.499992,6.469229999999999e-10,100000.0,1.005497697e+17,502900000000.0,7.95142583515104e+16,102880851.20468758,1.590310612e+17,3.0894368928165953e+22,1.1760327673546296e+17,6.359823438095587e+22,2.01115127e+17
1111,38.6359,316228.0,0.499992,6.469229999999999e-10,100000.0,1.005607816e+17,50300000000.0,7953006949852800.0,10290130.872133197,1.59062684e+16,3.089611003586437e+22,1.176032789882243e+17,6.3601716652069085e+22,2.011261389e+17
1141,38.6359,316228.0,0.499992,6.469229999999999e-10,100000.0,1.005622901e+17,50300000000.0,7953006949852800.0,10290130.872133197,1.59062684e+16,3.0896348547017167e+22,1.176032792968259e+17,6.3602193682007014e+22,2.011276474e+17
1171,38.6359,316228.0,0.499992,6.469229999999999e-10,100000.0,1.005637985e+17,50200000000.0,7937195802835200.0,10269673.3554888,1.58746456e+16,3.0896587042358815e+22,1.1760327960540706e+17,6.360267068032215e+22,2.011291558e+17
1201,38.6359,316228.0,0.499992,6.469229999999999e-10,100000.0,1.005648997e+17,5000000000.0,790557350880000.0,1022875.8322199997,1581140000000000.0,3.0896761154709796e+22,1.1760327983068522e+17,6.36030189105957e+22,2.01130257e+17
1231,38.6359,316228.0,0.499992,6.469229999999999e-10,100000.0,1.005650506e+17,5100000000.0,806368497897600.0,1043333.3488643998,1612762800000000.0,3.089678501373064e+22,1.1760327986155565e+17,6.360306662940091e+22,2.011304079e+17
1261,38.6359,316228.0,0.499992,6.469229999999999e-10,100000.0,1.005652014e+17,5000000000.0,790557350880000.0,1022875.8322199997,1581140000000000.0,3.089680885694033e+22,1.1760327989240563e+17,6.360311431658333e+22,2.011305587e+17
1291,38.6359,316228.0,0.499992,6.469229999999999e-10,100000.0,1.005653115e+17,500000000.0,79055735088000.0,102287.58322199999,158114000000000.0,3.089682626501319e+22,1.1760327991492939e+17,6.3603149133286165e+22,2.011306688e+17
1321,38.6359,316228.0,0.499992,6.469229999999999e-10,100000.0,1.005653266e+17,500000000.0,79055735088000.0,102287.58322199999,158114000000000.0,3.0896828652496385e+22,1.176032799180185e+17,6.360315390832906e+22,2.011306839e+17
1351,38.6359,316228.0,0.499992,6.469229999999999e-10,100000.0,1.005653417e+17,500000000.0,79055735088000.0,102287.58322199999,158114000000000.0,3.089683103997958e+22,1.176032799211076e+17,6.360315868337195e+22,2.01130699e+17
1381,38.6359,316228.0,0.499992,6.469229999999999e-10,100000.0,1.005653527e+17,0.0,0.0,0.0,0.0,3.0896832779205745e+22,1.1760327992335797e+17,6.3603162161880035e+22,2.0113071e+17
1411,38.6359,316228.0,0.499992,6.469229999999999e-10,100000.0,1.005653542e+17,0.0,0.0,0.0,0.0,3.0896833016372937e+22,1.1760327992366493e+17,6.3603162636222095e+22,2.011307115e+17
1441,38.6359,316228.0,0.499992,6.469229999999999e-10,100000.0,1.005653557e+17,0.0,0.0,0.0,0.0,3.089683325354013e+22,1.1760327992397189e+17,6.3603163110564155e+22,2.01130713e+17
