Particle [HI] [CII] [OI] [CI] CO p-H2 o-H2 Total 
49 1.52e-289 7.19888E-22 9.70555E-22 3.21937E-28 2.26007E-38 4.50291E-28 1.96292E-27 1.69045E-21
50 1.52e-289 7.19888E-22 9.70555E-22 3.21938E-28 2.26006E-38 4.50291E-28 1.96292E-27 1.69045E-21
51 1.52e-289 7.19888E-22 9.70555E-22 3.21938E-28 2.26006E-38 4.50291E-28 1.96292E-27 1.69045E-21
52 1.52e-289 7.19888E-22 9.70555E-22 3.21938E-28 2.26005E-38 4.50291E-28 1.96292E-27 1.69045E-21
53 1.52e-289 7.19888E-22 9.70555E-22 3.21938E-28 2.26006E-38 4.50291E-28 1.96292E-27 1.69045E-21
54 1.52e-289 7.19888E-22 9.70555E-22 3.21938E-28 2.26007E-38 4.50291E-28 1.96292E-27 1.69045E-21
55 1.52e-289 7.19888E-22 9.70555E-22 3.21938E-28 2.26007E-38 4.50292E-28 1.96292E-27 1.69045E-21
56 1.52e-289 7.19888E-22 9.70555E-22 3.21938E-28 2.26009E-38 4.50292E-28 1.96292E-27 1.69045E-21
57 1.52e-289 7.19888E-22 9.70555E-22 3.21938E-28 2.26006E-38 4.50292E-28 1.96292E-27 1.69045E-21
58 1.52e-289 7.19888E-22 9.70555E-22 3.21938E-28 2.26006E-38 4.50292E-28 1.96292E-27 1.69045E-21
59 1.52e-289 7.19888E-22 9.70555E-22 3.21938E-28 2.26009E-38 4.50292E-28 1.96292E-27 1.69045E-21
60 1.52e-289 7.19888E-22 9.70555E-22 3.21938E-28 2.26007E-38 4.50292E-28 1.96292E-27 1.69045E-21
61 1.52e-289 7.19888E-22 9.70555E-22 3.21938E-28 2.26006E-38 4.50292E-28 1.96292E-27 1.69045E-21
62 1.52e-289 7.19888E-22 9.70555E-22 3.21938E-28 2.26009E-38 4.50292E-28 1.96292E-27 1.69045E-21
63 1.52e-289 7.19888E-22 9.70555E-22 3.21938E-28 2.26008E-38 4.50292E-28 1.96292E-27 1.69044E-21
64 1.52e-289 7.19888E-22 9.70555E-22 3.21938E-28 2.26005E-38 4.50292E-28 1.96292E-27 1.69044E-21
65 1.52e-289 7.19888E-22 9.70555E-22 3.21938E-28 2.26009E-38 4.50292E-28 1.96292E-27 1.69044E-21
66 1.52e-289 7.19888E-22 9.70555E-22 3.21938E-28 2.26009E-38 4.50292E-28 1.96292E-27 1.69044E-21
67 1.52e-289 7.19887E-22 9.70555E-22 3.21939E-28 2.26008E-38 4.50293E-28 1.96292E-27 1.69044E-21
68 1.52e-289 7.19887E-22 9.70555E-22 3.21939E-28 2.26006E-38 4.50293E-28 1.96292E-27 1.69044E-21
69 1.52e-289 7.19887E-22 9.70554E-22 3.21939E-28 2.26009E-38 4.50293E-28 1.96292E-27 1.69044E-21
70 1.52e-289 7.19887E-22 9.70554E-22 3.21939E-28 2.26009E-38 4.50293E-28 1.96292E-27 1.69044E-21
71 1.52e-289 7.19887E-22 9.70554E-22 3.21939E-28 2.26011E-38 4.50293E-28 1.96292E-27 1.69044E-21
72 1.52e-289 7.19887E-22 9.70554E-22 3.21939E-28 2.26008E-38 4.50293E-28 1.96293E-27 1.69044E-21
73 1.52e-289 7.19887E-22 9.70554E-22 3.21939E-28 2.26006E-38 4.50293E-28 1.96293E-27 1.69044E-21
74 1.52e-289 7.19887E-22 9.70554E-22 3.21939E-28 2.26007E-38 4.50293E-28 1.96293E-27 1.69044E-21
75 1.52e-289 7.19887E-22 9.70554E-22 3.21939E-28 2.26007E-38 4.50293E-28 1.96293E-27 1.69044E-21
76 1.52e-289 7.19887E-22 9.70554E-22 3.21939E-28 2.26007E-38 4.50293E-28 1.96293E-27 1.69044E-21
77 1.52e-289 7.19887E-22 9.70554E-22 3.21939E-28 2.26006E-38 4.50294E-28 1.96293E-27 1.69044E-21
78 1.52e-289 7.19887E-22 9.70554E-22 3.21939E-28 2.26009E-38 4.50294E-28 1.96293E-27 1.69044E-21
79 1.52e-289 7.19887E-22 9.70554E-22 3.21939E-28 2.26007E-38 4.50294E-28 1.96293E-27 1.69044E-21
80 1.52e-289 7.19887E-22 9.70554E-22 3.21939E-28 2.26007E-38 4.50294E-28 1.96293E-27 1.69044E-21
81 1.52e-289 7.19887E-22 9.70554E-22 3.21939E-28 2.26010E-38 4.50294E-28 1.96293E-27 1.69044E-21
82 1.52e-289 7.19887E-22 9.70554E-22 3.21939E-28 2.26011E-38 4.50294E-28 1.96293E-27 1.69044E-21
83 1.52e-289 7.19887E-22 9.70554E-22 3.21939E-28 2.26007E-38 4.50294E-28 1.96293E-27 1.69044E-21
84 1.52e-289 7.19887E-22 9.70554E-22 3.21940E-28 2.26008E-38 4.50294E-28 1.96293E-27 1.69044E-21
85 1.52e-289 7.19887E-22 9.70554E-22 3.21940E-28 2.26013E-38 4.50294E-28 1.96293E-27 1.69044E-21
86 1.52e-289 7.19887E-22 9.70554E-22 3.21940E-28 2.26010E-38 4.50294E-28 1.96293E-27 1.69044E-21
87 1.52e-289 7.19887E-22 9.70554E-22 3.21940E-28 2.26012E-38 4.50294E-28 1.96293E-27 1.69044E-21
88 1.52e-289 7.19887E-22 9.70554E-22 3.21940E-28 2.26007E-38 4.50295E-28 1.96293E-27 1.69044E-21
89 1.52e-289 7.19887E-22 9.70554E-22 3.21940E-28 2.26010E-38 4.50295E-28 1.96293E-27 1.69044E-21
90 1.52e-289 7.19887E-22 9.70554E-22 3.21940E-28 2.26010E-38 4.50295E-28 1.96293E-27 1.69044E-21
91 1.52e-289 7.19887E-22 9.70554E-22 3.21940E-28 2.26009E-38 4.50295E-28 1.96293E-27 1.69044E-21
92 1.52e-289 7.19887E-22 9.70554E-22 3.21940E-28 2.26008E-38 4.50295E-28 1.96293E-27 1.69044E-21
93 1.52e-289 7.19887E-22 9.70553E-22 3.21940E-28 2.26009E-38 4.50296E-28 1.96294E-27 1.69044E-21
94 1.52e-289 7.19887E-22 9.70553E-22 3.21941E-28 2.26011E-38 4.50297E-28 1.96294E-27 1.69044E-21
95 1.52e-289 7.19887E-22 9.70552E-22 3.21941E-28 2.26010E-38 4.50298E-28 1.96294E-27 1.69044E-21
96 1.52e-289 7.19887E-22 9.70552E-22 3.21942E-28 2.26012E-38 4.50299E-28 1.96295E-27 1.69044E-21
97 1.52e-289 7.19887E-22 9.70551E-22 3.21942E-28 2.26013E-38 4.50299E-28 1.96295E-27 1.69044E-21
98 1.52e-289 7.19887E-22 9.70551E-22 3.21943E-28 2.26013E-38 4.50300E-28 1.96295E-27 1.69044E-21
99 1.52e-289 7.19887E-22 9.70551E-22 3.21944E-28 2.26013E-38 4.50301E-28 1.96296E-27 1.69044E-21
100 1.52e-289 7.19887E-22 9.70550E-22 3.21944E-28 2.26015E-38 4.50302E-28 1.96296E-27 1.69044E-21
101 1.52e-289 7.19887E-22 9.70550E-22 3.21944E-28 2.26016E-38 4.50303E-28 1.96296E-27 1.69044E-21
102 1.52e-289 7.19886E-22 9.70549E-22 3.21945E-28 2.26016E-38 4.50304E-28 1.96297E-27 1.69044E-21
103 1.52e-289 7.19886E-22 9.70549E-22 3.21945E-28 2.26015E-38 4.50305E-28 1.96297E-27 1.69044E-21
104 1.52e-289 7.19886E-22 9.70549E-22 3.21946E-28 2.26017E-38 4.50306E-28 1.96297E-27 1.69044E-21
105 1.52e-289 7.19886E-22 9.70548E-22 3.21946E-28 2.26022E-38 4.50307E-28 1.96298E-27 1.69044E-21
106 1.52e-289 7.19886E-22 9.70548E-22 3.21947E-28 2.26020E-38 4.50308E-28 1.96298E-27 1.69044E-21
107 1.51e-289 7.19886E-22 9.70547E-22 3.21947E-28 2.26018E-38 4.50309E-28 1.96298E-27 1.69044E-21
108 1.51e-289 7.19886E-22 9.70547E-22 3.21947E-28 2.26018E-38 4.50310E-28 1.96299E-27 1.69044E-21
109 1.51e-289 7.19886E-22 9.70547E-22 3.21948E-28 2.26021E-38 4.50311E-28 1.96299E-27 1.69044E-21
110 1.51e-289 7.19886E-22 9.70546E-22 3.21948E-28 2.26023E-38 4.50311E-28 1.96300E-27 1.69043E-21
111 1.51e-289 7.19886E-22 9.70546E-22 3.21949E-28 2.26025E-38 4.50312E-28 1.96300E-27 1.69043E-21
112 1.51e-289 7.19886E-22 9.70545E-22 3.21949E-28 2.26023E-38 4.50313E-28 1.96300E-27 1.69043E-21
113 1.51e-289 7.19885E-22 9.70545E-22 3.21950E-28 2.26029E-38 4.50314E-28 1.96301E-27 1.69043E-21
114 1.51e-289 7.19885E-22 9.70544E-22 3.21950E-28 2.26025E-38 4.50315E-28 1.96301E-27 1.69043E-21
115 1.51e-289 7.19885E-22 9.70544E-22 3.21950E-28 2.26024E-38 4.50316E-28 1.96301E-27 1.69043E-21
116 1.51e-289 7.19885E-22 9.70544E-22 3.21951E-28 2.26026E-38 4.50317E-28 1.96302E-27 1.69043E-21
117 1.51e-289 7.19885E-22 9.70543E-22 3.21951E-28 2.26025E-38 4.50318E-28 1.96302E-27 1.69043E-21
118 1.51e-289 7.19885E-22 9.70543E-22 3.21952E-28 2.26027E-38 4.50319E-28 1.96302E-27 1.69043E-21
119 1.51e-289 7.19885E-22 9.70542E-22 3.21952E-28 2.26028E-38 4.50320E-28 1.96303E-27 1.69043E-21
120 1.51e-289 7.19885E-22 9.70542E-22 3.21952E-28 2.26029E-38 4.50321E-28 1.96303E-27 1.69043E-21
121 1.51e-289 7.19885E-22 9.70542E-22 3.21953E-28 2.26028E-38 4.50322E-28 1.96303E-27 1.69043E-21
122 1.51e-289 7.19885E-22 9.70541E-22 3.21953E-28 2.26028E-38 4.50322E-28 1.96304E-27 1.69043E-21
123 1.51e-289 7.19885E-22 9.70541E-22 3.21954E-28 2.26031E-38 4.50323E-28 1.96304E-27 1.69043E-21
124 1.51e-289 7.19885E-22 9.70540E-22 3.21954E-28 2.26029E-38 4.50324E-28 1.96304E-27 1.69043E-21
125 1.51e-289 7.19884E-22 9.70540E-22 3.21954E-28 2.26032E-38 4.50325E-28 1.96305E-27 1.69043E-21
126 1.51e-289 7.19884E-22 9.70540E-22 3.21955E-28 2.26031E-38 4.50326E-28 1.96305E-27 1.69043E-21
127 1.51e-289 7.19884E-22 9.70539E-22 3.21955E-28 2.26034E-38 4.50327E-28 1.96305E-27 1.69043E-21
128 1.51e-289 7.19884E-22 9.70539E-22 3.21955E-28 2.26032E-38 4.50328E-28 1.96306E-27 1.69043E-21
129 1.51e-289 7.19884E-22 9.70538E-22 3.21956E-28 2.26037E-38 4.50329E-28 1.96306E-27 1.69043E-21
130 1.51e-289 7.19884E-22 9.70538E-22 3.21956E-28 2.26036E-38 4.50330E-28 1.96307E-27 1.69042E-21
131 1.51e-289 7.19884E-22 9.70537E-22 3.21957E-28 2.26034E-38 4.50331E-28 1.96307E-27 1.69042E-21
132 1.51e-289 7.19884E-22 9.70537E-22 3.21957E-28 2.26035E-38 4.50332E-28 1.96307E-27 1.69042E-21
133 1.51e-289 7.19884E-22 9.70537E-22 3.21957E-28 2.26035E-38 4.50333E-28 1.96308E-27 1.69042E-21
134 1.51e-289 7.19884E-22 9.70536E-22 3.21958E-28 2.26038E-38 4.50334E-28 1.96308E-27 1.69042E-21
135 1.51e-289 7.19884E-22 9.70536E-22 3.21958E-28 2.26038E-38 4.50334E-28 1.96308E-27 1.69042E-21
136 1.51e-289 7.19883E-22 9.70535E-22 3.21959E-28 2.26038E-38 4.50335E-28 1.96309E-27 1.69042E-21
