Particle [HI] [CII] [OI] [CI] CO p-H2 o-H2 T_gas 
198 No No No No No No No ----Yes----
199 No No No No No No No ----Yes----
200 No No No No No No No ----Yes----
201 No No No No No No No ----Yes----
202 No No No No No No No ----Yes----
203 No No No No No No No ----Yes----
204 No No No No No No No ----Yes----
205 No No No No No No No ----Yes----
206 No No No No No No No ----Yes----
207 No No No No No No No ----Yes----
208 No No No No No No No ----Yes----
209 No No No No No No No ----Yes----
210 No No No No No No No ----Yes----
211 No No No No No No No ----Yes----
212 No No No No No No No ----Yes----
213 No No No No No No No ----Yes----
214 No No No No No No No ----Yes----
215 No No No No No No No ----Yes----
216 No No No No No No No ----Yes----
217 No No No No No No No ----Yes----
218 No No No No No No No ----Yes----
219 No No No No No No No ----Yes----
220 No No No No No No No ----Yes----
221 No No No No No No No ----Yes----
222 No No No No No No No ----Yes----
223 No No No No No No No ----Yes----
224 No No No No No No No ----Yes----
225 No No No No No No No ----Yes----
226 No No No No No No No ----Yes----
227 No No No No No No No ----Yes----
228 No No No No No No No ----Yes----
229 No No No No No No No ----Yes----
230 No No No No No No No ----Yes----
231 No No No No No No No ----Yes----
232 No No No No No No No ----Yes----
233 No No No No No No No ----Yes----
234 No No No No No No No ----Yes----
235 No No No No No No No ----Yes----
236 No No No No No No No ----Yes----
237 No No No No No No No ----Yes----
238 No No No No No No No ----Yes----
239 No No No No No No No ----Yes----
240 No No No No No No No ----Yes----
241 No No No No No No No ----Yes----
242 No No No No No No No ----Yes----
243 No No No No No No No ----Yes----
244 No No No No No No No ----Yes----
245 No No No No No No No ----Yes----
246 No No No No No No No ----Yes----
247 No No No No No No No ----Yes----
248 No No No No No No No ----Yes----
249 No No No No No No No ----Yes----
250 No No No No No No No ----Yes----
251 No No No No No No No ----Yes----
252 No No No No No No No ----Yes----
253 No No No No No No No ----Yes----
254 No No No No No No No ----Yes----
255 No No No No No No No ----Yes----
256 No No No No No No No ----Yes----
257 No No No No No No No ----Yes----
258 No No No No No No No ----Yes----
259 No No No No No No No ----Yes----
260 No No No No No No No ----Yes----
261 No No No No No No No ----Yes----
262 No No No No No No No ----Yes----
263 No No No No No No No ----Yes----
264 No No No No No No No ----Yes----
265 No No No No No No No ----Yes----
266 No No No No No No No ----Yes----
