Particle Photoelectic H2Form H2Pumping H2Photodis CIPhotoion Cosmic-Rays Turbulence Chemistry Gas-Grain Coulomb Total 
47 7.75216E-17 1.71439E-18 2.06338E-17 4.57267E-19 4.64711E-21 2.20280E-28 2.21359E-23 4.20977E-25 -4.27740E-19 0.00000E+00 9.99041E-17
48 7.75216E-17 1.71439E-18 2.06338E-17 4.57267E-19 4.64711E-21 2.20280E-28 2.21359E-23 4.20977E-25 -4.27740E-19 0.00000E+00 9.99041E-17
49 7.75216E-17 1.71439E-18 2.06338E-17 4.57267E-19 4.64711E-21 2.20280E-28 2.21359E-23 4.20977E-25 -4.27740E-19 0.00000E+00 9.99041E-17
50 7.75216E-17 1.71439E-18 2.06338E-17 4.57267E-19 4.64711E-21 2.20280E-28 2.21359E-23 4.20977E-25 -4.27740E-19 0.00000E+00 9.99041E-17
51 7.75216E-17 1.71439E-18 2.06338E-17 4.57267E-19 4.64711E-21 2.20280E-28 2.21359E-23 4.20977E-25 -4.27740E-19 0.00000E+00 9.99041E-17
52 7.75216E-17 1.71439E-18 2.06338E-17 4.57267E-19 4.64711E-21 2.20280E-28 2.21359E-23 4.20977E-25 -4.27740E-19 0.00000E+00 9.99041E-17
53 7.75216E-17 1.71439E-18 2.06338E-17 4.57267E-19 4.64711E-21 2.20280E-28 2.21359E-23 4.20977E-25 -4.27740E-19 0.00000E+00 9.99041E-17
54 7.75216E-17 1.71439E-18 2.06338E-17 4.57267E-19 4.64711E-21 2.20280E-28 2.21359E-23 4.20977E-25 -4.27740E-19 0.00000E+00 9.99041E-17
55 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20280E-28 2.21359E-23 4.20977E-25 -4.27740E-19 0.00000E+00 9.99041E-17
56 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20280E-28 2.21359E-23 4.20977E-25 -4.27740E-19 0.00000E+00 9.99041E-17
57 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20977E-25 -4.27740E-19 0.00000E+00 9.99041E-17
58 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20977E-25 -4.27740E-19 0.00000E+00 9.99041E-17
59 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20977E-25 -4.27740E-19 0.00000E+00 9.99041E-17
60 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20977E-25 -4.27740E-19 0.00000E+00 9.99041E-17
61 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27740E-19 0.00000E+00 9.99041E-17
62 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27740E-19 0.00000E+00 9.99041E-17
63 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27740E-19 0.00000E+00 9.99041E-17
64 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27740E-19 0.00000E+00 9.99041E-17
65 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27740E-19 0.00000E+00 9.99041E-17
66 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27740E-19 0.00000E+00 9.99041E-17
67 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27740E-19 0.00000E+00 9.99041E-17
68 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27740E-19 0.00000E+00 9.99041E-17
69 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27740E-19 0.00000E+00 9.99041E-17
70 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27740E-19 0.00000E+00 9.99041E-17
71 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27740E-19 0.00000E+00 9.99041E-17
72 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27740E-19 0.00000E+00 9.99041E-17
73 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27740E-19 0.00000E+00 9.99041E-17
74 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27740E-19 0.00000E+00 9.99041E-17
75 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27739E-19 0.00000E+00 9.99041E-17
76 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27739E-19 0.00000E+00 9.99041E-17
77 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27739E-19 0.00000E+00 9.99041E-17
78 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27739E-19 0.00000E+00 9.99041E-17
79 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27739E-19 0.00000E+00 9.99041E-17
80 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27739E-19 0.00000E+00 9.99041E-17
81 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27739E-19 0.00000E+00 9.99041E-17
82 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27739E-19 0.00000E+00 9.99041E-17
83 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27739E-19 0.00000E+00 9.99041E-17
84 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27739E-19 0.00000E+00 9.99041E-17
85 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27739E-19 0.00000E+00 9.99041E-17
86 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27739E-19 0.00000E+00 9.99041E-17
87 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27739E-19 0.00000E+00 9.99041E-17
88 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27739E-19 0.00000E+00 9.99041E-17
89 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27739E-19 0.00000E+00 9.99041E-17
90 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27739E-19 0.00000E+00 9.99041E-17
91 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27739E-19 0.00000E+00 9.99041E-17
92 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27739E-19 0.00000E+00 9.99041E-17
93 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27739E-19 0.00000E+00 9.99041E-17
94 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20281E-28 2.21359E-23 4.20976E-25 -4.27739E-19 0.00000E+00 9.99041E-17
95 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20282E-28 2.21359E-23 4.20976E-25 -4.27739E-19 0.00000E+00 9.99041E-17
96 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20282E-28 2.21359E-23 4.20975E-25 -4.27739E-19 0.00000E+00 9.99041E-17
97 7.75216E-17 1.71439E-18 2.06339E-17 4.57267E-19 4.64711E-21 2.20282E-28 2.21359E-23 4.20975E-25 -4.27739E-19 0.00000E+00 9.99041E-17
98 7.75216E-17 1.71439E-18 2.06339E-17 4.57268E-19 4.64711E-21 2.20282E-28 2.21359E-23 4.20975E-25 -4.27739E-19 0.00000E+00 9.99041E-17
99 7.75216E-17 1.71439E-18 2.06339E-17 4.57268E-19 4.64711E-21 2.20282E-28 2.21359E-23 4.20975E-25 -4.27739E-19 0.00000E+00 9.99041E-17
100 7.75216E-17 1.71439E-18 2.06339E-17 4.57268E-19 4.64711E-21 2.20283E-28 2.21359E-23 4.20975E-25 -4.27739E-19 0.00000E+00 9.99041E-17
101 7.75216E-17 1.71439E-18 2.06339E-17 4.57268E-19 4.64711E-21 2.20283E-28 2.21359E-23 4.20975E-25 -4.27739E-19 0.00000E+00 9.99041E-17
102 7.75216E-17 1.71439E-18 2.06339E-17 4.57268E-19 4.64711E-21 2.20283E-28 2.21359E-23 4.20974E-25 -4.27739E-19 0.00000E+00 9.99041E-17
103 7.75216E-17 1.71439E-18 2.06339E-17 4.57268E-19 4.64711E-21 2.20283E-28 2.21359E-23 4.20974E-25 -4.27739E-19 0.00000E+00 9.99041E-17
104 7.75216E-17 1.71439E-18 2.06339E-17 4.57268E-19 4.64711E-21 2.20283E-28 2.21359E-23 4.20974E-25 -4.27739E-19 0.00000E+00 9.99041E-17
105 7.75216E-17 1.71439E-18 2.06339E-17 4.57268E-19 4.64711E-21 2.20284E-28 2.21359E-23 4.20974E-25 -4.27739E-19 0.00000E+00 9.99041E-17
106 7.75216E-17 1.71439E-18 2.06339E-17 4.57268E-19 4.64711E-21 2.20284E-28 2.21359E-23 4.20974E-25 -4.27739E-19 0.00000E+00 9.99041E-17
107 7.75216E-17 1.71439E-18 2.06339E-17 4.57268E-19 4.64711E-21 2.20284E-28 2.21359E-23 4.20974E-25 -4.27739E-19 0.00000E+00 9.99041E-17
