Particle,n_H,n_g,T_gas,T_dust,chi,F_X
64,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99998E+04,0.00000E+00
65,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99998E+04,0.00000E+00
66,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99998E+04,0.00000E+00
67,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99998E+04,0.00000E+00
68,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99998E+04,0.00000E+00
69,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99998E+04,0.00000E+00
70,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99998E+04,0.00000E+00
71,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99998E+04,0.00000E+00
72,3.16228E+05,6.32456E-07,7.42401E+02,1.32979E+02,9.99998E+04,0.00000E+00
73,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99998E+04,0.00000E+00
74,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99998E+04,0.00000E+00
75,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99997E+04,0.00000E+00
76,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99997E+04,0.00000E+00
77,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99997E+04,0.00000E+00
78,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99997E+04,0.00000E+00
79,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99997E+04,0.00000E+00
80,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99997E+04,0.00000E+00
81,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99997E+04,0.00000E+00
82,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99997E+04,0.00000E+00
83,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99997E+04,0.00000E+00
84,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99997E+04,0.00000E+00
85,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99997E+04,0.00000E+00
86,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99997E+04,0.00000E+00
87,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99997E+04,0.00000E+00
88,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99997E+04,0.00000E+00
89,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99997E+04,0.00000E+00
90,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99997E+04,0.00000E+00
91,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99997E+04,0.00000E+00
92,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99997E+04,0.00000E+00
93,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99997E+04,0.00000E+00
94,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99996E+04,0.00000E+00
95,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99996E+04,0.00000E+00
96,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99996E+04,0.00000E+00
97,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99995E+04,0.00000E+00
98,3.16228E+05,6.32456E-07,7.42400E+02,1.32979E+02,9.99995E+04,0.00000E+00
