,av,Density,gasTemp,dustTemp,Ly-alpha,C+ ,O ,C ,CO ,p-H2,o-H2,Photoelectric,H2Formation,FUVPumping,Photodissociation,Cionization,CRheating,turbHeating,Chemheating,gasGrainColls,H,H2,H+,C+,C,E-
0,0.0,1000.0,366.175,132.82,1e-50,1.8922325915139964e-22,6.514398652842267e-22,2.031153973844167e-31,4.0446080960247795e-46,3.950493309136032e-30,1.7423516084797184e-29,8.126541791972938e-22,2.3097202235027028e-23,2.4299780901292e-23,6.15925239731658e-24,1.3297777565363427e-26,2.9623544188637127e-33,7.000000000000001e-26,1.9916057171795463e-30,-3.265187220292767e-23,0.9999079999999999,2.111286e-09,9.228877700000001e-05,5.2e-05,6.6505716e-13,0.00015706466
1,2.452710006439936e-07,1000.0,686.95,132.82,1e-50,1.8922288217837604e-22,6.514421259332491e-22,2.0311591965861395e-31,4.0446167002641896e-46,3.950439278461452e-30,1.742341095232836e-29,8.126557977903603e-22,2.3097336946505785e-23,2.4299797148334757e-23,6.1592883394145304e-24,1.329781167404387e-26,2.96237404414448e-33,7.000000000000001e-26,1.991561221814543e-30,-3.2651374207486854e-23,0.9998750900000002,1.43467878e-09,0.00012498423999999998,5.2e-05,6.498041700000001e-13,0.00018964307
2,3.899179987120128e-07,1000.0,701.0,132.82,1e-50,1.8922265813070958e-22,6.514435509291821e-22,2.031162147149671e-31,4.044621580289995e-46,3.9504072423254736e-30,1.7423348544326586e-29,8.126567446261486e-22,2.3097416084707367e-23,2.4299807061522215e-23,6.1593094882070446e-24,1.3297831664134925e-26,2.962385595037609e-33,7.000000000000001e-26,1.991534871763706e-30,-3.2651080322304096e-23,0.9998722999999998,1.4170604999999998e-09,0.00012770282000000002,5.2e-05,6.5577637e-13,0.00019235099
3,5.408539987120128e-07,1000.0,676.355,132.82,1e-50,1.8922242558852681e-22,6.514449603683507e-22,2.031165188779161e-31,4.044626904706284e-46,3.950373988258142e-30,1.7423283800692493e-29,8.1265773358749935e-22,2.3097498935697755e-23,2.4299817256704662e-23,6.159331531646743e-24,1.3297852535790545e-26,2.9623976361949354e-33,7.000000000000001e-26,1.991507537662827e-30,-3.26507750823505e-23,0.9998752200000002,1.4737380999999997e-09,0.0001247383,5.2e-05,6.555687000000001e-13,0.00018939767
4,6.917899987120128e-07,1000.0,691.225,132.82,1e-50,1.8922219413831203e-22,6.514463639884702e-22,2.0311682303459274e-31,4.044632003406327e-46,3.950340736989271e-30,1.7423219123362213e-29,8.126587239891641e-22,2.3097581554244805e-23,2.429982731354734e-23,6.159353572772691e-24,1.329787335261561e-26,2.962409676250437e-33,7.000000000000001e-26,1.9914801032372144e-30,-3.2650468739211645e-23,0.9998722500000002,1.4492251999999999e-09,0.00012773942,5.2e-05,6.6129186e-13,0.00019238697999999994
5,8.427259987120128e-07,1000.0,690.755,132.82,1e-50,1.892219605254392e-22,6.514477581327606e-22,2.0311712584833415e-31,4.04463746308125e-46,3.950307381610594e-30,1.7423154167626938e-29,8.126597157017408e-22,2.3097664473924424e-23,2.4299837459738255e-23,6.1593756778416936e-24,1.3297894247390902e-26,2.9624217470710763e-33,7.000000000000001e-26,1.9914526464967885e-30,-3.265016205095696e-23,0.9998729800000002,1.4485321999999998e-09,0.00012701424000000002,5.2e-05,6.588407200000001e-13,0.0001916645
6,9.936619987120128e-07,1000.0,694.485,132.82,1e-50,1.8922172846924587e-22,6.514491011803342e-22,2.0311742753232833e-31,4.044642651512325e-46,3.9502741201714726e-30,1.742308943191082e-29,8.12660706923584e-22,2.309774722297604e-23,2.4299847560139075e-23,6.159397740346496e-24,1.3297915101930926e-26,2.962433797431001e-33,7.000000000000001e-26,1.9914252578102944e-30,-3.264985564407088e-23,0.9998732800000002,1.43198e-09,0.00012673378,5.2e-05,6.5515244e-13,0.00019138586999999996
7,2.4023979987120127e-06,1000.0,1409.0500000000002,132.82,1e-50,1.892195592443744e-22,6.514610979609352e-22,2.031202376288328e-31,4.044691680250893e-46,3.949963390656468e-30,1.742248452239348e-29,8.12669959166507e-22,2.309851990214269e-23,2.4299942016401886e-23,6.1596037720315765e-24,1.3298110154517183e-26,2.962546323285999e-33,7.000000000000001e-26,1.9911694848565145e-30,-3.264699775520838e-23,0.99970899,7.1893531e-10,0.00029107083000000003,5.2e-05,9.6696019e-13,0.00035539880999999995
8,3.89918e-06,1000.0,1600.625,132.82,1e-50,1.8921725438896785e-22,6.514740865410447e-22,2.0312321109539157e-31,4.0447434089823624e-46,3.9496332250098544e-30,1.7421841641539758e-29,8.126797901291903e-22,2.3099340693008575e-23,2.430004233439042e-23,6.159822655717559e-24,1.3298317374259635e-26,2.962665871044076e-33,7.000000000000001e-26,1.990897787559126e-30,-3.26439615124165e-23,0.9995472700000001,6.2739221e-10,0.00045274662999999994,5.2e-05,1.3483373000000001e-12,0.00051686309
9,5.402251000643994e-06,1000.0,1600.9450000000002,132.82,1e-50,1.8921494011384518e-22,6.514881783452637e-22,2.0312619012867472e-31,4.0447957459750925e-46,3.949301673664507e-30,1.7421195938594316e-29,8.126896575615852e-22,2.310016493691977e-23,2.4300142966610188e-23,6.160042452929011e-24,1.3298525387479696e-26,2.9627859192337966e-33,7.000000000000001e-26,1.9906249693042107e-30,-3.2640912890647974e-23,0.99954669,6.226663100000001e-10,0.00045328907,5.2e-05,1.3473585999999998e-12,0.00051740676
10,6.905322001287987e-06,1000.0,1573.255,132.82,1e-50,1.8921262626330073e-22,6.515009547921177e-22,2.0312916789961436e-31,4.0448478627309425e-46,3.9489701444929375e-30,1.742055015255032e-29,8.126995291763297e-22,2.3100988992362136e-23,2.430024352287655e-23,6.1602622019552156e-24,1.329873347667714e-26,2.9629059453400546e-33,7.000000000000001e-26,1.9903522594335007e-30,-3.26378650133569e-23,0.9995523599999998,6.378797700000001e-10,0.00044767174999999995,5.2e-05,1.3408295999999996e-12,0.00051178963
11,8.402104e-06,1000.0,1577.4450000000002,132.82,1e-50,1.8921032222735978e-22,6.515139771758049e-22,2.031321294471753e-31,4.044899871797421e-46,3.948639983553584e-30,1.7419906897405402e-29,8.127093537254679e-22,2.3101809565160068e-23,2.430034358027203e-23,6.160481019664906e-24,1.3298940606348055e-26,2.963025464623672e-33,7.000000000000001e-26,1.9900807097229553e-30,-3.263483026094388e-23,0.9995601299999999,6.4083268e-10,0.00043984282,5.2e-05,1.32222e-12,0.00050396824
12,9.905175000643994e-06,1000.0,1573.845,132.82,1e-50,1.8920800903103504e-22,6.515280360890938e-22,2.0313510303448507e-31,4.044952327823838e-46,3.948308456919098e-30,1.7419260857843955e-29,8.127192235356819e-22,2.3102633434358336e-23,2.43004439714154e-23,6.160700716862628e-24,1.3299148661182722e-26,2.9631454679811553e-33,7.000000000000001e-26,1.98980811283842e-30,-3.2631783362474944e-23,0.9995618499999998,6.375004300000001e-10,0.00043812809,5.2e-05,1.3163531e-12,0.00050225761
13,2.4005112999356008e-05,1000.0,1556.0549999999998,132.82,1e-50,1.8918632212654014e-22,6.516478433663248e-22,2.0316294892431444e-31,4.045441413833754e-46,3.945198531904064e-30,1.7413194344466886e-29,8.128117350984292e-22,2.311035764933945e-23,2.4301381901338748e-23,6.162760507090968e-24,1.3301099431431555e-26,2.9642706971063165e-33,7.000000000000001e-26,1.9872536668985523e-30,-3.2603226248653e-23,0.9995713599999999,6.4546154e-10,0.00042865335999999995,5.2e-05,1.2960546000000001e-12,0.00049279281
14,3.900437800128799e-05,1000.0,1564.745,132.82,1e-50,1.8916327995319166e-22,6.5177515331489705e-22,2.031925289930743e-31,4.045960970507489e-46,3.941890524219004e-30,1.7406729041765824e-29,8.129100497301397e-22,2.3118565381896619e-23,2.430237198409361e-23,6.164949234383339e-24,1.3303173428633813e-26,2.9654666271381247e-33,7.000000000000001e-26,1.984542034397681e-30,-3.257289820821052e-23,0.9995662199999998,6.440776299999999e-10,0.00043384061,5.2e-05,1.3088239e-12,0.0004979719
15,5.400364300064399e-05,1000.0,1558.115,132.82,1e-50,1.8914026648011215e-22,6.519023212085675e-22,2.0322208492866483e-31,4.046479743146984e-46,3.9385827970135674e-30,1.7400251518674807e-29,8.130082632815999e-22,2.3126763700069603e-23,2.4303354185739908e-23,6.1671354510436165e-24,1.3305246176000515e-26,2.9666614580145353e-33,7.000000000000001e-26,1.9818362935414392e-30,-3.2542622077860925e-23,0.9995741799999999,6.4506625e-10,0.00042584515000000005,5.2e-05,1.2888529000000002e-12,0.00048998649
16,6.9002908e-05,1000.0,1566.46,132.82,1e-50,1.8911727740779628e-22,6.520293452134595e-22,2.032516222599603e-31,4.046997595109459e-46,3.9352753470266095e-30,1.739376177942887e-29,8.131063732163273e-22,2.313495264939499e-23,2.4304328519660334e-23,6.169319169580139e-24,1.3307317653575462e-26,2.9678551955857488e-33,7.000000000000001e-26,1.9791364082458993e-30,-3.251239765021169e-23,0.9995696700000001,6.399517100000001e-10,0.00043034109,5.2e-05,1.2978896000000002e-12,0.0004944792699999999
17,8.400217299935601e-05,1000.0,1566.635,132.82,1e-50,1.8909430957612352e-22,6.521562283584079e-22,2.0328114508801907e-31,4.047514368995111e-46,3.931968205091671e-30,1.738725989506209e-29,8.132043855248571e-22,2.314313214710521e-23,2.4305294995634423e-23,6.1715003682630536e-24,1.3309387941613062e-26,2.969047829231363e-33,7.000000000000001e-26,1.9764424023615422e-30,-3.248222501988051e-23,0.9995770100000001,6.461434899999999e-10,0.0004229875900000001,5.2e-05,1.2821634e-12,0.00048713297999999997
18,9.900143799871202e-05,1000.0,1557.545,132.81,1e-50,1.8907137021502602e-22,6.522829684250261e-22,2.033106537698396e-31,4.048030374728784e-46,3.9286613478498746e-30,1.7380745823461193e-29,8.133022944536514e-22,2.3151302304877645e-23,2.430625363903473e-23,6.173679076406026e-24,1.3311456942872057e-26,2.9702393728866803e-33,7.000000000000001e-26,1.973754218056161e-30,-3.245210383137347e-23,0.9995750200000001,6.4470714e-10,0.0004249564,5.2e-05,1.2865489000000002e-12,0.0004890990300000001
19,0.000240000818001288,1000.0,5353.174999999999,132.8,1e-50,1.892160771681736e-22,6.513436734589998e-22,2.0326762451398377e-31,4.051357152148727e-46,3.9533503287953786e-30,1.7438199259227458e-29,8.125394306247707e-22,2.310338110957259e-23,2.430005936442669e-23,6.160900104170612e-24,1.329829682156613e-26,2.9654367006644207e-33,7.000000000000001e-26,1.9917941105925658e-30,-3.2627327627042575e-23,0.9949438799999999,1.2588677600000002e-10,0.0050561194,5.2e-05,9.1627057e-12,0.005119675300000002
20,0.000389999756999356,1000.0,6067.73,132.79,1e-50,1.892115690145167e-22,6.51283162315709e-22,2.033625024409028e-31,4.0555809531489124e-46,3.955133884832502e-30,1.7447375603104704e-29,8.124678083404995e-22,2.3107250287080185e-23,2.4300234033831027e-23,6.161931888869019e-24,1.329862311742728e-26,2.9673655805977326e-33,7.000000000000001e-26,1.9919095542788874e-30,-3.261197318210501e-23,0.9940045399999999,1.03757402e-10,0.0059954789,5.2e-05,1.0424726e-11,0.006059068600000002
