Particle [HI] [CII] [OI] [CI] CO p-H2 o-H2 T_gas 
109 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
110 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
111 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
112 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
113 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
114 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
115 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
116 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
117 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
118 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
119 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
120 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
121 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
122 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
123 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
124 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
125 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
126 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
127 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
128 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
129 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
130 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
131 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
132 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
133 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
134 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
135 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
136 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
137 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
138 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
139 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
140 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
141 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
142 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
143 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
144 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
145 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
146 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
147 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
148 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
149 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
150 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
151 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
152 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
153 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
154 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
155 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
156 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
157 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
158 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
159 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
160 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
161 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
162 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
163 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
164 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
165 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
166 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
167 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
168 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
169 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
170 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
171 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
172 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
173 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
174 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
175 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
176 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
177 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
178 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
179 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
180 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
181 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
182 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
183 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
184 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
185 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
186 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
187 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
188 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
189 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
190 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
191 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
192 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
193 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
194 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
195 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
196 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
197 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
198 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
199 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
200 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
201 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
202 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
203 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
204 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
205 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
206 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
207 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
208 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
209 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
210 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
211 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
212 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
213 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
214 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
215 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
216 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
217 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
218 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
219 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
220 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
221 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
222 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
223 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
224 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
225 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
226 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
227 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
228 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
229 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
230 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
231 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
232 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
233 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
234 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
235 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
236 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
237 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
238 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
239 ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes---- ----Yes----
