Time,Density,gasTemp,dustTemp,av,H2O ,H2  ,H   ,H+  ,HE+ ,C   ,C+  ,O   ,O+  ,CO  ,CO+ ,E-  
  8.389E-01, 1.0000E+03, 1883.49,   45.87, 1.0240E-06, 2.916E-16, 8.364E-09, 1.000E+00, 5.237E-09, 3.581E-11, 9.401E-10, 1.000E-04, 3.000E-04, 2.039E-12, 1.422E-12, 1.993E-14, 1.033E-04
  1.678E+00, 1.0000E+03, 1882.58,   45.87, 1.0240E-06, 9.937E-18, 8.363E-09, 1.000E+00, 5.614E-09, 7.161E-11, 3.584E-10, 1.000E-04, 3.000E-04, 2.044E-12, 1.556E-13, 2.098E-15, 1.044E-04
  3.355E+00, 1.0000E+03, 1880.76,   45.87, 1.0240E-06, 3.517E-18, 8.368E-09, 1.000E+00, 6.348E-09, 1.432E-10, 9.430E-11, 1.000E-04, 3.000E-04, 2.077E-12, 3.266E-14, 1.382E-15, 1.049E-04
  6.711E+00, 1.0000E+03, 1877.14,   45.87, 1.0240E-06, 5.033E-19, 8.378E-09, 1.000E+00, 7.791E-09, 2.864E-10, 5.810E-11, 1.000E-04, 3.000E-04, 2.270E-12, 1.367E-14, 7.925E-16, 1.050E-04
  1.342E+01, 1.0000E+03, 1869.89,   45.87, 1.0240E-06, 1.066E-20, 8.399E-09, 1.000E+00, 1.064E-08, 5.727E-10, 5.758E-11, 1.000E-04, 3.000E-04, 2.900E-12, 4.807E-15, 5.121E-16, 1.050E-04
  2.684E+01, 1.0000E+03, 1855.46,   45.87, 1.0240E-06, 2.599E-22, 8.440E-09, 1.000E+00, 1.630E-08, 1.145E-09, 5.764E-11, 1.000E-04, 3.000E-04, 4.380E-12, 3.563E-15, 4.725E-16, 1.050E-04
  5.369E+01, 1.0000E+03, 1826.77,   45.87, 1.0240E-06, 2.226E-22, 8.522E-09, 1.000E+00, 2.762E-08, 2.288E-09, 5.777E-11, 1.000E-04, 3.000E-04, 7.402E-12, 3.534E-15, 4.712E-16, 1.050E-04
  1.074E+02, 1.0000E+03, 1770.20,   45.87, 1.0240E-06, 2.186E-22, 8.690E-09, 1.000E+00, 5.025E-08, 4.567E-09, 5.804E-11, 1.000E-04, 3.000E-04, 1.345E-11, 3.526E-15, 4.702E-16, 1.051E-04
  2.147E+02, 1.0000E+03, 1660.09,   45.87, 1.0240E-06, 2.109E-22, 9.037E-09, 1.000E+00, 9.552E-08, 9.100E-09, 5.859E-11, 1.000E-04, 3.000E-04, 2.552E-11, 3.510E-15, 4.680E-16, 1.051E-04
  4.295E+02, 1.0000E+03, 1451.28,   45.87, 1.0240E-06, 1.958E-22, 9.780E-09, 1.000E+00, 1.860E-07, 1.807E-08, 5.972E-11, 1.000E-04, 3.000E-04, 4.956E-11, 3.479E-15, 4.638E-16, 1.052E-04
  8.590E+02, 1.0000E+03, 1076.59,   45.87, 1.0240E-06, 1.666E-22, 1.149E-08, 1.000E+00, 3.669E-07, 3.566E-08, 6.218E-11, 1.000E-04, 3.000E-04, 9.708E-11, 3.418E-15, 4.557E-16, 1.054E-04
