Particle Photoelectic H2Form H2Pumping H2Photodis CIPhotoion Cosmic-Rays Turbulence Chemistry Gas-Grain Coulomb Total 
35 1.60140E-22 1.45861E-22 8.15904E-33 3.89102E-23 6.38647E-25 3.53670E-26 7.00000E-26 4.61045E-27 -2.45702E-25 0.00000E+00 3.45414E-22
36 1.60140E-22 1.45861E-22 8.15932E-33 3.89102E-23 6.38647E-25 3.53683E-26 7.00000E-26 4.61061E-27 -2.45702E-25 0.00000E+00 3.45414E-22
37 1.60140E-22 1.45861E-22 8.15988E-33 3.89102E-23 6.38647E-25 3.53707E-26 7.00000E-26 4.61092E-27 -2.45702E-25 0.00000E+00 3.45414E-22
38 1.60140E-22 1.45861E-22 8.16044E-33 3.89102E-23 6.38647E-25 3.53731E-26 7.00000E-26 4.61124E-27 -2.45702E-25 0.00000E+00 3.45414E-22
39 1.60140E-22 1.45861E-22 8.16072E-33 3.89102E-23 6.38647E-25 3.53743E-26 7.00000E-26 4.61140E-27 -2.45702E-25 0.00000E+00 3.45414E-22
40 1.60140E-22 1.45861E-22 8.16128E-33 3.89102E-23 6.38647E-25 3.53768E-26 7.00000E-26 4.61172E-27 -2.45702E-25 0.00000E+00 3.45414E-22
41 1.60140E-22 1.45861E-22 8.16156E-33 3.89102E-23 6.38647E-25 3.53780E-26 7.00000E-26 4.61188E-27 -2.45702E-25 0.00000E+00 3.45414E-22
42 1.60140E-22 1.45861E-22 8.16212E-33 3.89101E-23 6.38647E-25 3.53804E-26 7.00000E-26 4.61219E-27 -2.45702E-25 0.00000E+00 3.45414E-22
43 1.60140E-22 1.45861E-22 8.16240E-33 3.89101E-23 6.38647E-25 3.53816E-26 7.00000E-26 4.61235E-27 -2.45702E-25 0.00000E+00 3.45414E-22
44 1.60140E-22 1.45861E-22 8.16296E-33 3.89101E-23 6.38647E-25 3.53841E-26 7.00000E-26 4.61267E-27 -2.45702E-25 0.00000E+00 3.45414E-22
45 1.60140E-22 1.45861E-22 8.16352E-33 3.89101E-23 6.38647E-25 3.53865E-26 7.00000E-26 4.61299E-27 -2.45702E-25 0.00000E+00 3.45414E-22
46 1.60140E-22 1.45861E-22 8.16380E-33 3.89101E-23 6.38647E-25 3.53877E-26 7.00000E-26 4.61315E-27 -2.45702E-25 0.00000E+00 3.45414E-22
47 1.60140E-22 1.45861E-22 8.16436E-33 3.89101E-23 6.38647E-25 3.53902E-26 7.00000E-26 4.61347E-27 -2.45702E-25 0.00000E+00 3.45414E-22
48 1.60140E-22 1.45861E-22 8.16464E-33 3.89101E-23 6.38647E-25 3.53914E-26 7.00000E-26 4.61363E-27 -2.45702E-25 0.00000E+00 3.45414E-22
49 1.60140E-22 1.45861E-22 8.16520E-33 3.89101E-23 6.38647E-25 3.53938E-26 7.00000E-26 4.61394E-27 -2.45702E-25 0.00000E+00 3.45414E-22
50 1.60140E-22 1.45861E-22 8.16576E-33 3.89101E-23 6.38646E-25 3.53962E-26 7.00000E-26 4.61426E-27 -2.45702E-25 0.00000E+00 3.45414E-22
51 1.60140E-22 1.45861E-22 8.16604E-33 3.89101E-23 6.38646E-25 3.53975E-26 7.00000E-26 4.61442E-27 -2.45702E-25 0.00000E+00 3.45414E-22
52 1.60140E-22 1.45860E-22 8.16660E-33 3.89101E-23 6.38646E-25 3.53999E-26 7.00000E-26 4.61474E-27 -2.45702E-25 0.00000E+00 3.45414E-22
53 1.60140E-22 1.45860E-22 8.16688E-33 3.89101E-23 6.38646E-25 3.54011E-26 7.00000E-26 4.61490E-27 -2.45702E-25 0.00000E+00 3.45414E-22
54 1.60140E-22 1.45860E-22 8.16744E-33 3.89101E-23 6.38646E-25 3.54035E-26 7.00000E-26 4.61522E-27 -2.45702E-25 0.00000E+00 3.45414E-22
55 1.60140E-22 1.45860E-22 8.16801E-33 3.89101E-23 6.38646E-25 3.54060E-26 7.00000E-26 4.61553E-27 -2.45702E-25 0.00000E+00 3.45413E-22
56 1.60140E-22 1.45860E-22 8.16829E-33 3.89101E-23 6.38646E-25 3.54072E-26 7.00000E-26 4.61569E-27 -2.45702E-25 0.00000E+00 3.45413E-22
57 1.60140E-22 1.45860E-22 8.16885E-33 3.89101E-23 6.38646E-25 3.54096E-26 7.00000E-26 4.61601E-27 -2.45702E-25 0.00000E+00 3.45413E-22
58 1.60140E-22 1.45860E-22 8.16913E-33 3.89101E-23 6.38646E-25 3.54109E-26 7.00000E-26 4.61617E-27 -2.45702E-25 0.00000E+00 3.45413E-22
