Particle X(H3+) X(He+) X(Mg) X(CH5+) X(O2) X(H2+) X(CH4+) X(O+) X(OH+) X(Mg+) X(C+) X(CH4) X(H2O+) X(H3O+) X(CO+) X(O2+) X(CH2) X(H2O) X(H+) X(CH3+) X(CH) X(CH3) X(HCO+) X(CH2+) X(C) X(He) X(CH+) X(CO) X(OH) X(O) X(H2) X(H) X(e-) 
12 4.34306E-14 1.38326E-05 3.86255E-08 2.42003E-23 4.55688E-12 1.59528E-12 4.34326E-24 1.84690E-09 8.40909E-11 4.96137E-06 9.92181E-05 2.16575E-21 2.75228E-13 2.31622E-16 4.01839E-14 1.03293E-13 5.37991E-16 1.00964E-12 2.03831E-04 3.17510E-16 8.85544E-13 1.45704E-17 8.86725E-16 7.41203E-14 7.81673E-07 9.99862E-02 1.99351E-12 1.81913E-10 4.62397E-10 2.99997E-04 6.88948E-04 9.98418E-01 3.21845E-04
13 4.34365E-14 1.38326E-05 3.86255E-08 2.42053E-23 4.55690E-12 1.59539E-12 4.34415E-24 1.84690E-09 8.40960E-11 4.96137E-06 9.92181E-05 2.16620E-21 2.75263E-13 2.31668E-16 4.01841E-14 1.03299E-13 5.38060E-16 1.00964E-12 2.03831E-04 3.17554E-16 8.85576E-13 1.45724E-17 8.86755E-16 7.41254E-14 7.81675E-07 9.99862E-02 1.99351E-12 1.81914E-10 4.62398E-10 2.99997E-04 6.88996E-04 9.98418E-01 3.21845E-04
14 4.34395E-14 1.38326E-05 3.86255E-08 2.42078E-23 4.55690E-12 1.59544E-12 4.34460E-24 1.84690E-09 8.40986E-11 4.96137E-06 9.92181E-05 2.16642E-21 2.75280E-13 2.31690E-16 4.01841E-14 1.03302E-13 5.38094E-16 1.00965E-12 2.03831E-04 3.17575E-16 8.85592E-13 1.45734E-17 8.86770E-16 7.41280E-14 7.81676E-07 9.99862E-02 1.99351E-12 1.81914E-10 4.62399E-10 2.99997E-04 6.89019E-04 9.98418E-01 3.21845E-04
15 4.34455E-14 1.38326E-05 3.86255E-08 2.42127E-23 4.55692E-12 1.59555E-12 4.34550E-24 1.84690E-09 8.41037E-11 4.96137E-06 9.92181E-05 2.16687E-21 2.75315E-13 2.31736E-16 4.01842E-14 1.03307E-13 5.38163E-16 1.00965E-12 2.03831E-04 3.17619E-16 8.85624E-13 1.45754E-17 8.86799E-16 7.41331E-14 7.81678E-07 9.99862E-02 1.99351E-12 1.81915E-10 4.62400E-10 2.99997E-04 6.89066E-04 9.98418E-01 3.21845E-04
16 4.34514E-14 1.38326E-05 3.86255E-08 2.42177E-23 4.55693E-12 1.59566E-12 4.34639E-24 1.84689E-09 8.41089E-11 4.96137E-06 9.92181E-05 2.16732E-21 2.75350E-13 2.31781E-16 4.01843E-14 1.03313E-13 5.38232E-16 1.00966E-12 2.03830E-04 3.17663E-16 8.85656E-13 1.45774E-17 8.86829E-16 7.41381E-14 7.81680E-07 9.99862E-02 1.99351E-12 1.81915E-10 4.62402E-10 2.99997E-04 6.89114E-04 9.98418E-01 3.21845E-04
17 4.34544E-14 1.38326E-05 3.86255E-08 2.42202E-23 4.55694E-12 1.59572E-12 4.34684E-24 1.84689E-09 8.41114E-11 4.96137E-06 9.92181E-05 2.16754E-21 2.75367E-13 2.31804E-16 4.01844E-14 1.03316E-13 5.38266E-16 1.00966E-12 2.03830E-04 3.17684E-16 8.85672E-13 1.45784E-17 8.86844E-16 7.41407E-14 7.81681E-07 9.99862E-02 1.99351E-12 1.81915E-10 4.62402E-10 2.99997E-04 6.89137E-04 9.98418E-01 3.21845E-04
18 4.34603E-14 1.38326E-05 3.86255E-08 2.42252E-23 4.55695E-12 1.59582E-12 4.34774E-24 1.84689E-09 8.41166E-11 4.96137E-06 9.92181E-05 2.16799E-21 2.75402E-13 2.31849E-16 4.01845E-14 1.03321E-13 5.38335E-16 1.00967E-12 2.03830E-04 3.17728E-16 8.85704E-13 1.45804E-17 8.86874E-16 7.41458E-14 7.81683E-07 9.99862E-02 1.99351E-12 1.81916E-10 4.62404E-10 2.99997E-04 6.89185E-04 9.98418E-01 3.21845E-04
19 4.34633E-14 1.38326E-05 3.86255E-08 2.42277E-23 4.55696E-12 1.59588E-12 4.34818E-24 1.84689E-09 8.41192E-11 4.96137E-06 9.92181E-05 2.16821E-21 2.75420E-13 2.31872E-16 4.01846E-14 1.03324E-13 5.38370E-16 1.00967E-12 2.03830E-04 3.17750E-16 8.85720E-13 1.45814E-17 8.86889E-16 7.41483E-14 7.81684E-07 9.99862E-02 1.99351E-12 1.81916E-10 4.62404E-10 2.99997E-04 6.89208E-04 9.98418E-01 3.21844E-04
20 4.34693E-14 1.38326E-05 3.86255E-08 2.42327E-23 4.55697E-12 1.59599E-12 4.34908E-24 1.84689E-09 8.41243E-11 4.96137E-06 9.92181E-05 2.16866E-21 2.75455E-13 2.31917E-16 4.01847E-14 1.03330E-13 5.38438E-16 1.00968E-12 2.03830E-04 3.17794E-16 8.85752E-13 1.45834E-17 8.86918E-16 7.41534E-14 7.81685E-07 9.99862E-02 1.99351E-12 1.81917E-10 4.62406E-10 2.99997E-04 6.89256E-04 9.98418E-01 3.21844E-04
21 4.34723E-14 1.38326E-05 3.86255E-08 2.42352E-23 4.55698E-12 1.59604E-12 4.34953E-24 1.84689E-09 8.41269E-11 4.96137E-06 9.92181E-05 2.16888E-21 2.75472E-13 2.31940E-16 4.01847E-14 1.03333E-13 5.38473E-16 1.00968E-12 2.03830E-04 3.17815E-16 8.85768E-13 1.45844E-17 8.86933E-16 7.41559E-14 7.81686E-07 9.99862E-02 1.99351E-12 1.81917E-10 4.62406E-10 2.99997E-04 6.89279E-04 9.98418E-01 3.21844E-04
